"vol" "age" "owner" "nuts" "species" "step0" "step1" "step2" "step3" "step4" "step5"
"12689" "6" "6" "communal" "DE1" "beech" 1732.98492657275 1433.87813786531 702.489496038604 1898.74275099863 1145.34169984689 476.347659338793
"14561" "7" "6" "communal" "DE1" "beech" 629.048284273306 17.6413017955508 5.08706947962083 0 0.00466601519752431 0
"16433" "8" "6" "communal" "DE1" "beech" 210.540330333726 278.920715952014 122.932029186785 11.6710625440357 6.02112597323489 11.965454875014
"18305" "9" "6" "communal" "DE1" "beech" 135.196139301311 949.678194892106 276.416781494556 22.8467002413804 0.242632790271264 0
"3329" "10" "6" "communal" "DE1" "beech" 93.9844787540317 118.313784066573 11.1718743250545 2.35744251004239 12.859537884377 0
"1561" "1" "7" "communal" "DE1" "beech" 100.024144587751 0 0.211467536126323 0.253270591748729 2.58822214262171 3.66964953434226
"5305" "2" "7" "communal" "DE1" "beech" 650.616298531409 457.940619783652 365.775390838526 299.294941111126 308.609589382522 343.265608667073
"7177" "3" "7" "communal" "DE1" "beech" 1261.40002505437 1361.86425033639 753.915589005617 1693.8826250163 2223.1861847415 2269.92446079482
"9049" "4" "7" "communal" "DE1" "beech" 1440.62520480129 42.1254682362496 25.9855840220188 39.1582936526419 10.0572804071279 10.8742160509376
"10921" "5" "7" "communal" "DE1" "beech" 2549.92548485945 44.8069544231042 67.0932430447255 54.1751459436494 12.27368635943 11.7114240522315
"12793" "6" "7" "communal" "DE1" "beech" 2017.70287704342 2867.08561309122 3933.26700854129 3034.83825158466 1226.73090591216 963.982998621799
"14665" "7" "7" "communal" "DE1" "beech" 1132.32482761032 629.048284273306 17.6413017955508 5.08706947962083 0 0.00466601519752431
"16537" "8" "7" "communal" "DE1" "beech" 717.017988141178 210.540330333726 278.920715952014 122.932029186785 11.6710625440357 6.02112597323489
"18409" "9" "7" "communal" "DE1" "beech" 425.330700534717 135.196139301311 949.678194892106 276.416781494556 22.8467002413804 0.242632790271264
"3433" "10" "7" "communal" "DE1" "beech" 325.712867875408 1289.84542223698 1107.77355171632 495.930707848769 1312.60097828687 803.212289825505
"1665" "1" "8" "communal" "DE1" "beech" 0 0.840539030149168 0 0.0017770381187086 0.00212832430040949 0.0217497659043841
"5409" "2" "8" "communal" "DE1" "beech" 206.09444044249 749.799904089011 457.940619783652 365.985081336534 299.546083378574 311.176061759239
"7281" "3" "8" "communal" "DE1" "beech" 886.628489407559 23.800000472724 25.6955518931393 14.2248224340683 31.9600495286094 41.946909146066
"9153" "4" "8" "communal" "DE1" "beech" 1381.76174462189 2678.22522938294 1378.2941666795 765.676350593568 1701.08086914033 2191.29655600256
"11025" "5" "8" "communal" "DE1" "beech" 1729.29845129394 3095.27361040387 756.955774746703 576.630729649328 346.437084743738 516.834460508162
"12897" "6" "8" "communal" "DE1" "beech" 1754.84719505481 2017.70287704342 2867.08561309122 3933.26700854129 3034.83825158466 1226.73090591216
"14769" "7" "8" "communal" "DE1" "beech" 1054.48119493823 1132.32482761032 629.048284273306 17.6413017955508 5.08706947962083 0
"16641" "8" "8" "communal" "DE1" "beech" 1031.17131403299 717.017988141178 210.540330333726 278.920715952014 122.932029186785 11.6710625440357
"18513" "9" "8" "communal" "DE1" "beech" 228.029647225898 425.330700534717 135.196139301311 949.678194892106 276.416781494556 22.8467002413804
"3537" "10" "8" "communal" "DE1" "beech" 459.47515370921 325.712867875408 1289.84542223698 1107.77355171632 495.930707848769 1312.60097828687
"1769" "1" "9" "communal" "DE1" "beech" 0 0 0.840539030149168 0 0.0017770381187086 0.00212832430040949
"5513" "2" "9" "communal" "DE1" "beech" 406.997192623917 92.4729581864694 336.429333223037 205.474362599104 164.214634080577 134.403977049139
"7385" "3" "9" "communal" "DE1" "beech" 976.197605825157 935.560368627305 201.820903254421 134.421896228091 101.118664682984 103.079642765373
"9257" "4" "9" "communal" "DE1" "beech" 1687.39252669899 28.1745012255934 91.2643641431622 54.5080132146799 41.9557248775953 39.4799806121041
"11129" "5" "9" "communal" "DE1" "beech" 2472.69112296458 697.68807864451 1350.80639256612 690.27637083159 384.378523222606 848.49681097689
"13001" "6" "9" "communal" "DE1" "beech" 2228.45339503405 542.581365325496 960.469011683628 257.490959061854 212.809381361509 134.252510371584
"14873" "7" "9" "communal" "DE1" "beech" 1944.16171769034 1054.48119493823 1132.32482761032 629.048284273306 17.6413017955508 5.08706947962083
"16745" "8" "9" "communal" "DE1" "beech" 925.842375302511 3093.55555630307 3852.18111905591 2152.77409924037 2624.73330187818 1864.9613922091
"18617" "9" "9" "communal" "DE1" "beech" 667.284108702941 1097.09682953876 1424.57403011812 1555.08615721315 2897.58185626494 1779.38429656505
"3641" "10" "9" "communal" "DE1" "beech" 840.131367680475 459.47515370921 325.712867875408 1289.84542223698 1107.77355171632 495.930707848769
"105" "1" "10" "communal" "DE1" "beech" 0 0 0 0.840539030149168 0 0.0017770381187086
"3849" "2" "10" "communal" "DE1" "beech" 46.7010963351944 549.224289283693 713.02951516347 512.741575492441 294.218837491508 506.124723044737
"5721" "3" "10" "communal" "DE1" "beech" 185.800967154182 976.197605825157 935.560368627305 201.820903254421 134.421896228091 101.118664682984
"7593" "4" "10" "communal" "DE1" "beech" 1484.63477590544 1687.39252669899 28.1745012255934 91.2643641431622 54.5080132146799 41.9557248775953
"9465" "5" "10" "communal" "DE1" "beech" 1849.17777237394 2472.69112296458 697.68807864451 1350.80639256612 690.27637083159 384.378523222606
"11337" "6" "10" "communal" "DE1" "beech" 2162.17056342507 2228.45339503405 542.581365325496 960.469011683628 257.490959061854 212.809381361509
"13209" "7" "10" "communal" "DE1" "beech" 1593.5428305629 1944.16171769034 1054.48119493823 1132.32482761032 629.048284273306 17.6413017955508
"15081" "8" "10" "communal" "DE1" "beech" 1128.70528811379 925.842375302511 3093.55555630307 3852.18111905591 2152.77409924037 2624.73330187818
"16953" "9" "10" "communal" "DE1" "beech" 691.027097685001 667.284108702941 1097.09682953876 1424.57403011812 1555.08615721315 2897.58185626494
"1977" "10" "10" "communal" "DE1" "beech" 781.342861298453 840.131367680475 459.47515370921 325.712867875408 1289.84542223698 1107.77355171632
"209" "1" "11" "communal" "DE1" "beech" 0 0 0 0 0.840539030149168 0
"3953" "2" "11" "communal" "DE1" "beech" 241.07088695345 46.7010963351944 549.224289283693 713.02951516347 512.741575492441 294.218837491508
"5825" "3" "11" "communal" "DE1" "beech" 1074.84071270422 185.800967154182 976.197605825157 935.560368627305 201.820903254421 134.421896228091
"7697" "4" "11" "communal" "DE1" "beech" 1028.38752126386 1484.63477590544 1687.39252669899 28.1745012255934 91.2643641431622 54.5080132146799
"9569" "5" "11" "communal" "DE1" "beech" 1241.76867779972 1849.17777237394 2472.69112296458 697.68807864451 1350.80639256612 690.27637083159
"11441" "6" "11" "communal" "DE1" "beech" 1778.8534311454 2162.17056342507 2228.45339503405 542.581365325496 960.469011683628 257.490959061854
"13313" "7" "11" "communal" "DE1" "beech" 904.058859095673 1593.5428305629 1944.16171769034 1054.48119493823 1132.32482761032 629.048284273306
"15185" "8" "11" "communal" "DE1" "beech" 1119.87404997197 1128.70528811379 925.842375302511 3093.55555630307 3852.18111905591 2152.77409924037
"17057" "9" "11" "communal" "DE1" "beech" 795.12116856062 691.027097685001 667.284108702941 1097.09682953876 1424.57403011812 1555.08615721315
"2081" "10" "11" "communal" "DE1" "beech" 700.608296350602 781.342861298453 840.131367680475 459.47515370921 325.712867875408 1289.84542223698
"313" "1" "12" "communal" "DE1" "beech" 0 0 0 0 0 0.840539030149168
"4057" "2" "12" "communal" "DE1" "beech" 200.04830109931 241.07088695345 46.7010963351944 549.224289283693 713.02951516347 512.741575492441
"5929" "3" "12" "communal" "DE1" "beech" 379.108465787722 1074.84071270422 185.800967154182 976.197605825157 935.560368627305 201.820903254421
"7801" "4" "12" "communal" "DE1" "beech" 981.545740398775 1028.38752126386 1484.63477590544 1687.39252669899 28.1745012255934 91.2643641431622
"9673" "5" "12" "communal" "DE1" "beech" 1310.14203600377 1241.76867779972 1849.17777237394 2472.69112296458 697.68807864451 1350.80639256612
"11545" "6" "12" "communal" "DE1" "beech" 878.056043341807 1778.8534311454 2162.17056342507 2228.45339503405 542.581365325496 960.469011683628
"13417" "7" "12" "communal" "DE1" "beech" 531.508011068728 904.058859095673 1593.5428305629 1944.16171769034 1054.48119493823 1132.32482761032
"15289" "8" "12" "communal" "DE1" "beech" 325.749146058857 1119.87404997197 1128.70528811379 925.842375302511 3093.55555630307 3852.18111905591
"17161" "9" "12" "communal" "DE1" "beech" 192.873150853385 795.12116856062 691.027097685001 667.284108702941 1097.09682953876 1424.57403011812
"2185" "10" "12" "communal" "DE1" "beech" 840.490605908511 700.608296350602 781.342861298453 840.131367680475 459.47515370921 325.712867875408
"417" "1" "13" "communal" "DE1" "beech" 0 0 0 0 0 0
"4161" "2" "13" "communal" "DE1" "beech" 200.048289175503 200.04830109931 241.07088695345 46.7010963351944 549.224289283693 713.02951516347
