"vol" "age" "owner" "nuts" "species" "step0" "step1" "step2" "step3" "step4" "step5"
"4903" "2" "3" "communal" "DEB" "beech" 686.805602366832 43.1261400598825 1444.45112771607 1215.59256029299 1161.21193246892 1214.60587719793
"6775" "3" "3" "communal" "DEB" "beech" 845.268182399579 1098.53862257159 1959.22189777912 1889.74564893009 2003.08009832248 2024.06271763783
"8647" "4" "3" "communal" "DEB" "beech" 933.7014971117 541.659831370974 87.644089830116 548.109065898325 461.09178469486 440.334976936195
"10519" "5" "3" "communal" "DEB" "beech" 353.425088324147 321.824212299171 37.388151460225 313.465064460005 234.052612743838 201.575293514737
"12391" "6" "3" "communal" "DEB" "beech" 204.887740632031 21.035849840856 0 0 0 0
"14263" "7" "3" "communal" "DEB" "beech" 34.0869772320257 0 0 0 0 0
"16135" "8" "3" "communal" "DEB" "beech" 0 0 0 0 0 0
"18007" "9" "3" "communal" "DEB" "beech" 13.602413820439 0 0 0 0 0
"3031" "10" "3" "communal" "DEB" "beech" 0 0 0 1189.00384356379 768.347662144146 1462.71336104074
"1263" "1" "4" "communal" "DEB" "beech" 99.577843560283 1032.81664879025 3192.00668311005 2483.74028555317 2472.80190188754 2809.73011108855
"5007" "2" "4" "communal" "DEB" "beech" 367.816458839209 347.795935231482 37.3130169649126 689.879468525076 632.218504905749 611.418213802315
"6879" "3" "4" "communal" "DEB" "beech" 1325.94568101434 153.097073005071 179.383991617926 251.001582961369 331.924134385482 339.603456314959
"8751" "4" "4" "communal" "DEB" "beech" 1872.50697185224 241.755538644972 301.517878758652 521.177670921562 511.442773912808 539.85366881908
"10623" "5" "4" "communal" "DEB" "beech" 1269.73276747448 235.310004814931 142.595474121743 502.780797257932 456.596148149933 458.05849376093
"12495" "6" "4" "communal" "DEB" "beech" 263.792318077145 1467.7289187955 868.22774174364 122.67314239807 845.318014691191 682.028465411552
"14367" "7" "4" "communal" "DEB" "beech" 22.4738570334365 0.643150513811806 0 0 0 0
"16239" "8" "4" "communal" "DEB" "beech" 92.3401701216726 0 0 0 0 0
"18111" "9" "4" "communal" "DEB" "beech" 15.877717774723 13.602413820439 0 0 0 0
"3135" "10" "4" "communal" "DEB" "beech" 8.62018555755715 33.4438267182139 0 0 1189.00384356379 768.347662144146
"1367" "1" "5" "communal" "DEB" "beech" 99.577843560283 66.4552475039182 951.688034941349 1503.53208544998 1467.93883920092 1483.5003893535
"5111" "2" "5" "communal" "DEB" "beech" 192.328310721947 160.998234204964 270.775726170576 534.350533258087 553.065751901914 559.375032932785
"6983" "3" "5" "communal" "DEB" "beech" 945.723901639378 237.121391966006 93.3486161563203 36.2943323072532 115.623107496662 125.042192891779
"8855" "4" "5" "communal" "DEB" "beech" 1838.02225667924 3555.93126699004 628.123710078422 589.866426512501 1263.09360199398 1320.67890737935
"10727" "5" "5" "communal" "DEB" "beech" 1186.23849799368 1269.73276747448 235.310004814931 142.595474121743 502.780797257932 456.596148149933
"12599" "6" "5" "communal" "DEB" "beech" 910.357726606371 263.792318077145 1467.7289187955 868.22774174364 122.67314239807 845.318014691191
"14471" "7" "5" "communal" "DEB" "beech" 575.212366096262 22.4738570334365 0.643150513811806 0 0 0
"16343" "8" "5" "communal" "DEB" "beech" 78.8651946541489 92.3401701216726 0 0 0 0
"18215" "9" "5" "communal" "DEB" "beech" 101.313524695627 15.877717774723 13.602413820439 0 0 0
"3239" "10" "5" "communal" "DEB" "beech" 138.368718261622 8.62018555755715 33.4438267182139 0 0 1189.00384356379
"1471" "1" "6" "communal" "DEB" "beech" 0 0.210523982157047 0.14049735201674 2.01202544385063 3.1787147683932 3.1034647763233
"5215" "2" "6" "communal" "DEB" "beech" 218.400641195464 255.876052883992 275.681807699521 389.124467671196 585.316199702448 629.603946023619
"7087" "3" "6" "communal" "DEB" "beech" 394.613399172704 347.757598207681 1108.17058333749 1654.14056479063 1690.7829467175 1791.93955507813
"8959" "4" "6" "communal" "DEB" "beech" 1211.86930209386 756.832693926746 1464.20699229002 258.639174738174 242.886175622795 520.097365526934
"10831" "5" "6" "communal" "DEB" "beech" 1006.12584894187 1516.95530542385 1909.5543103239 348.328803860183 248.730609688006 730.050234294911
"12703" "6" "6" "communal" "DEB" "beech" 1117.94498280629 910.357726606371 263.792318077145 1467.7289187955 868.22774174364 122.67314239807
"14575" "7" "6" "communal" "DEB" "beech" 536.751704147037 10.8530635112502 0.424035038366726 0.0121349153549397 0 0
"16447" "8" "6" "communal" "DEB" "beech" 216.968488436386 155.346754351268 111.516394666357 7.54918824281284 2.93515595641861 9.35054679599751
"18319" "9" "6" "communal" "DEB" "beech" 0 665.672827280639 37.9275397697928 14.2334294188959 0 0
"3343" "10" "6" "communal" "DEB" "beech" 129.845562279132 138.368718261622 8.62018555755715 33.4438267182139 0 0
"1575" "1" "7" "communal" "DEB" "beech" 0 0 0.210523982157047 0.14049735201674 2.01202544385063 3.1787147683932
"5319" "2" "7" "communal" "DEB" "beech" 246.539051776538 249.770368080883 158.604098271043 139.46944084606 159.070949410581 240.085406466618
"7191" "3" "7" "communal" "DEB" "beech" 450.727434290919 437.361778834459 394.682304936317 1163.50591867807 1739.7173686737 1807.19652339981
"9063" "4" "7" "communal" "DEB" "beech" 989.819571944833 22.8654585300728 14.2798621495612 27.62654702434 4.87998442902214 4.58275803061876
"10935" "5" "7" "communal" "DEB" "beech" 979.089540104736 18.9835065838089 28.6217982155444 36.0293266098849 6.5722415822676 4.69303037147181
"12807" "6" "7" "communal" "DEB" "beech" 1058.42733169624 1333.63991012843 1770.49116516233 1955.28517586658 796.666695004007 513.137405704914
"14679" "7" "7" "communal" "DEB" "beech" 617.604368801498 536.751704147037 10.8530635112502 0.424035038366726 0.0121349153549397 0
"16551" "8" "7" "communal" "DEB" "beech" 71.9143699093794 216.968488436386 155.346754351268 111.516394666357 7.54918824281284 2.93515595641861
"18423" "9" "7" "communal" "DEB" "beech" 282.573553684551 0 665.672827280639 37.9275397697928 14.2334294188959 0
"3447" "10" "7" "communal" "DEB" "beech" 125.254695217146 901.292977315051 766.568786913972 190.652311482137 1046.26261278763 599.12791535526
"1679" "1" "8" "communal" "DEB" "beech" 99.577831689679 0 0 0.00176910909375669 0.0011806500169474 0.0169077768390809
"5423" "2" "8" "communal" "DEB" "beech" 0 246.539051776538 249.770368080883 158.812853144106 139.60875754806 161.066067077592
"7295" "3" "8" "communal" "DEB" "beech" 237.857288202717 8.50429121303621 8.25210903461244 7.44683594219465 21.9529418618504 32.8248560127114
"9167" "4" "8" "communal" "DEB" "beech" 507.416832390937 1432.04271502272 451.97512832992 401.515331143683 1169.17952384056 1711.77249709001
"11039" "5" "8" "communal" "DEB" "beech" 1099.26306186521 1274.93987821597 375.281215584676 195.858246590771 191.429213307212 332.758298741038
"12911" "6" "8" "communal" "DEB" "beech" 842.247949820856 1058.42733169624 1333.63991012843 1770.49116516233 1955.28517586658 796.666695004007
"14783" "7" "8" "communal" "DEB" "beech" 755.972670850068 617.604368801498 536.751704147037 10.8530635112502 0.424035038366726 0.0121349153549397
"16655" "8" "8" "communal" "DEB" "beech" 292.235343936663 71.9143699093794 216.968488436386 155.346754351268 111.516394666357 7.54918824281284
"18527" "9" "8" "communal" "DEB" "beech" 433.596388470863 282.573553684551 0 665.672827280639 37.9275397697928 14.2334294188959
"3551" "10" "8" "communal" "DEB" "beech" 366.446884194781 125.254695217146 901.292977315051 766.568786913972 190.652311482137 1046.26261278763
"1783" "1" "9" "communal" "DEB" "beech" 0 99.577831689679 0 0 0.00176910909375669 0.0011806500169474
"5527" "2" "9" "communal" "DEB" "beech" 342.467773739097 0 110.620137919855 112.070004189209 71.2580809882006 62.6413539903771
"7399" "3" "9" "communal" "DEB" "beech" 237.120604454659 237.857288202717 67.038713968834 67.5537256010997 45.1529057027672 55.0994879195387
"9271" "4" "9" "communal" "DEB" "beech" 780.519376461072 2.42783173392793 32.6467093862092 28.2954761976934 18.5373601181111 20.2011129011492
"11143" "5" "9" "communal" "DEB" "beech" 513.761981082799 258.922939286781 720.051206763231 227.100910945367 200.942472441779 582.912150803372
"13015" "6" "9" "communal" "DEB" "beech" 580.41977823293 342.300234876269 397.781275899708 126.821936047023 76.4210535019977 76.8341559304127
"14887" "7" "9" "communal" "DEB" "beech" 827.353688587063 755.972670850068 617.604368801498 536.751704147037 10.8530635112502 0.424035038366726
"16759" "8" "9" "communal" "DEB" "beech" 377.596177606617 1467.90441140071 1475.8709794632 1136.40376228524 1167.3150704684 1211.94545268262
"18631" "9" "9" "communal" "DEB" "beech" 172.242929755457 850.709658858335 806.747089381736 660.469288825509 1542.48749955151 1006.25924591324
"3655" "10" "9" "communal" "DEB" "beech" 296.522646268658 366.446884194781 125.254695217146 901.292977315051 766.568786913972 190.652311482137
"119" "1" "10" "communal" "DEB" "beech" 0 0 99.577831689679 0 0 0.00176910909375669
"3863" "2" "10" "communal" "DEB" "beech" 99.577843560283 299.111935956368 356.297709000867 168.289973498273 156.467220070557 326.864705549134
"5735" "3" "10" "communal" "DEB" "beech" 189.520816430643 237.120604454659 237.857288202717 67.038713968834 67.5537256010997 45.1529057027672
"7607" "4" "10" "communal" "DEB" "beech" 729.368107750505 780.519376461072 2.42783173392793 32.6467093862092 28.2954761976934 18.5373601181111
"9479" "5" "10" "communal" "DEB" "beech" 1059.45756954557 513.761981082799 258.922939286781 720.051206763231 227.100910945367 200.942472441779
"11351" "6" "10" "communal" "DEB" "beech" 1577.54719001462 580.41977823293 342.300234876269 397.781275899708 126.821936047023 76.4210535019977
"13223" "7" "10" "communal" "DEB" "beech" 1239.67878936718 827.353688587063 755.972670850068 617.604368801498 536.751704147037 10.8530635112502
"15095" "8" "10" "communal" "DEB" "beech" 400.290557817949 377.596177606617 1467.90441140071 1475.8709794632 1136.40376228524 1167.3150704684
"16967" "9" "10" "communal" "DEB" "beech" 476.218017623426 172.242929755457 850.709658858335 806.747089381736 660.469288825509 1542.48749955151
"1991" "10" "10" "communal" "DEB" "beech" 845.338192996149 296.522646268658 366.446884194781 125.254695217146 901.292977315051 766.568786913972
"223" "1" "11" "communal" "DEB" "beech" 0 0 0 99.577831689679 0 0
"3967" "2" "11" "communal" "DEB" "beech" 99.577843560283 99.577843560283 299.111935956368 356.297709000867 168.289973498273 156.467220070557
"5839" "3" "11" "communal" "DEB" "beech" 263.209706607782 189.520816430643 237.120604454659 237.857288202717 67.038713968834 67.5537256010997
"7711" "4" "11" "communal" "DEB" "beech" 637.398648430269 729.368107750505 780.519376461072 2.42783173392793 32.6467093862092 28.2954761976934
"9583" "5" "11" "communal" "DEB" "beech" 989.14446918069 1059.45756954557 513.761981082799 258.922939286781 720.051206763231 227.100910945367
"11455" "6" "11" "communal" "DEB" "beech" 991.154557874985 1577.54719001462 580.41977823293 342.300234876269 397.781275899708 126.821936047023
"13327" "7" "11" "communal" "DEB" "beech" 362.686182629154 1239.67878936718 827.353688587063 755.972670850068 617.604368801498 536.751704147037
"15199" "8" "11" "communal" "DEB" "beech" 186.982910974985 400.290557817949 377.596177606617 1467.90441140071 1475.8709794632 1136.40376228524
"17071" "9" "11" "communal" "DEB" "beech" 251.608982287405 476.218017623426 172.242929755457 850.709658858335 806.747089381736 660.469288825509
"2095" "10" "11" "communal" "DEB" "beech" 638.967080916493 845.338192996149 296.522646268658 366.446884194781 125.254695217146 901.292977315051
"327" "1" "12" "communal" "DEB" "beech" 0 0 0 0 99.577831689679 0
"4071" "2" "12" "communal" "DEB" "beech" 99.577843560283 99.577843560283 99.577843560283 299.111935956368 356.297709000867 168.289973498273
"5943" "3" "12" "communal" "DEB" "beech" 706.728175032005 263.209706607782 189.520816430643 237.120604454659 237.857288202717 67.038713968834
"7815" "4" "12" "communal" "DEB" "beech" 571.093842237476 637.398648430269 729.368107750505 780.519376461072 2.42783173392793 32.6467093862092
"9687" "5" "12" "communal" "DEB" "beech" 816.875685991664 989.14446918069 1059.45756954557 513.761981082799 258.922939286781 720.051206763231
"11559" "6" "12" "communal" "DEB" "beech" 1002.1698952304 991.154557874985 1577.54719001462 580.41977823293 342.300234876269 397.781275899708
"13431" "7" "12" "communal" "DEB" "beech" 441.021481682416 362.686182629154 1239.67878936718 827.353688587063 755.972670850068 617.604368801498
"15303" "8" "12" "communal" "DEB" "beech" 538.558934605992 186.982910974985 400.290557817949 377.596177606617 1467.90441140071 1475.8709794632
"17175" "9" "12" "communal" "DEB" "beech" 455.953935100708 251.608982287405 476.218017623426 172.242929755457 850.709658858335 806.747089381736
"2199" "10" "12" "communal" "DEB" "beech" 553.133376543374 638.967080916493 845.338192996149 296.522646268658 366.446884194781 125.254695217146
"431" "1" "13" "communal" "DEB" "beech" 0 0 0 0 0 99.577831689679
"4175" "2" "13" "communal" "DEB" "beech" 199.155710861774 99.577843560283 99.577843560283 99.577843560283 299.111935956368 356.297709000867
"6047" "3" "13" "communal" "DEB" "beech" 27.3122892511106 706.728175032005 263.209706607782 189.520816430643 237.120604454659 237.857288202717
"7919" "4" "13" "communal" "DEB" "beech" 396.625016949175 571.093842237476 637.398648430269 729.368107750505 780.519376461072 2.42783173392793
"9791" "5" "13" "communal" "DEB" "beech" 287.859992141516 816.875685991664 989.14446918069 1059.45756954557 513.761981082799 258.922939286781
"11663" "6" "13" "communal" "DEB" "beech" 975.843157681828 1002.1698952304 991.154557874985 1577.54719001462 580.41977823293 342.300234876269
"13535" "7" "13" "communal" "DEB" "beech" 403.829727204342 441.021481682416 362.686182629154 1239.67878936718 827.353688587063 755.972670850068
"15407" "8" "13" "communal" "DEB" "beech" 629.637004305987 538.558934605992 186.982910974985 400.290557817949 377.596177606617 1467.90441140071
"17279" "9" "13" "communal" "DEB" "beech" 423.048451695908 455.953935100708 251.608982287405 476.218017623426 172.242929755457 850.709658858335
"2303" "10" "13" "communal" "DEB" "beech" 861.945765953987 553.133376543374 638.967080916493 845.338192996149 296.522646268658 366.446884194781
"535" "1" "14" "communal" "DEB" "beech" 0 0 0 0 0 0
"4279" "2" "14" "communal" "DEB" "beech" 159.321305460383 179.240139775597 89.6200592042547 89.6200592042547 89.6200592042547 269.200742360731
"6151" "3" "14" "communal" "DEB" "beech" 388.292498415221 24.5810603259995 636.055357528805 236.888735947004 170.568734787579 213.408544009193
"8023" "4" "14" "communal" "DEB" "beech" 872.888082030901 356.962515254258 513.984458013728 573.658783587242 656.431296975455 702.467438814965
"9895" "5" "14" "communal" "DEB" "beech" 982.836106006754 259.073992927364 735.188117392498 890.230022262621 953.511812591013 462.385782974519
"11767" "6" "14" "communal" "DEB" "beech" 809.097719786901 878.258841913645 901.95290570736 892.039102087487 1419.79247101316 522.377800409637
"13639" "7" "14" "communal" "DEB" "beech" 926.950559241709 363.446754483908 396.919333514174 326.417564366239 1115.71091043046 744.618319728357
"15511" "8" "14" "communal" "DEB" "beech" 315.418253661642 566.673303875388 484.703041145393 168.284619877487 360.261502036154 339.836559845955
"17383" "9" "14" "communal" "DEB" "beech" 119.792082158777 380.743606526317 410.358541590637 226.448084058665 428.596215861083 155.018636779911
"2407" "10" "14" "communal" "DEB" "beech" 498.876407647298 775.751189358588 497.820038889037 575.070372824844 760.804373696534 266.870381641792
"639" "1" "15" "communal" "DEB" "beech" 0 0 0 0 0 0
"4383" "2" "15" "communal" "DEB" "beech" 0 143.389174914345 161.316125798037 80.6580532838292 80.6580532838292 80.6580532838292
"6255" "3" "15" "communal" "DEB" "beech" 199.155687120566 349.463248573699 22.1229542933996 572.449821775924 213.199862352303 153.511861308821
"8127" "4" "15" "communal" "DEB" "beech" 486.080729718602 785.599273827811 321.266263728832 462.586012212356 516.292905228518 590.788167277909
"9999" "5" "15" "communal" "DEB" "beech" 632.677873929739 884.552495406079 233.166593634628 661.669305653248 801.207020036359 858.160631331912
"11871" "6" "15" "communal" "DEB" "beech" 387.300193080932 728.187947808211 790.432957722281 811.757615136624 802.835191878738 1277.81322391184
"13743" "7" "15" "communal" "DEB" "beech" 516.970044454128 834.255503317538 327.102079035517 357.227400162757 293.775807929615 1004.13981938742
"15615" "8" "15" "communal" "DEB" "beech" 412.966157168202 283.876428295478 510.00597348785 436.232737030854 151.456157889738 324.235351832539
"17487" "9" "15" "communal" "DEB" "beech" 32.0917802104313 107.812873942899 342.669245873685 369.322687431574 203.803275652798 385.736594274975
"2511" "10" "15" "communal" "DEB" "beech" 798.915973339003 448.988766882568 698.17607042273 448.038035000133 517.563335542359 684.723936326881
"743" "1" "16" "communal" "DEB" "beech" 0 0 0 0 0 0
"4487" "2" "16" "communal" "DEB" "beech" 0 0 100.372422440041 112.921288058626 56.4606372986805 56.4606372986805
"6359" "3" "16" "communal" "DEB" "beech" 36.2820678056139 139.408980984396 244.624274001589 15.4860680053797 400.714875243147 149.239903646612
"8231" "4" "16" "communal" "DEB" "beech" 368.149374379467 340.256510803021 549.919491679468 224.886384610182 323.810208548649 361.405033659962
"10103" "5" "16" "communal" "DEB" "beech" 388.343537560883 442.874511750817 619.186746784255 163.21661554424 463.168513957273 560.844914025451
"11975" "6" "16" "communal" "DEB" "beech" 236.347605561357 271.110135156652 509.731563465748 553.303070405596 568.230330595637 561.984634315117
"13847" "7" "16" "communal" "DEB" "beech" 484.213738187705 361.87903111789 583.978852322277 228.971455324862 250.05918011393 205.64306555073
"15719" "8" "16" "communal" "DEB" "beech" 68.6341555231992 289.076310017741 198.713499806834 357.004181441495 305.362915921598 106.019310522816
"17591" "9" "16" "communal" "DEB" "beech" 131.962881106882 22.4642461473019 75.4690117600295 239.86847211158 258.525881202101 142.662292956959
"2615" "10" "16" "communal" "DEB" "beech" 130.570508225587 559.241181337302 314.292136817798 488.723249295911 313.626624500093 362.294334879652
"847" "1" "17" "communal" "DEB" "beech" 0 0 0 0 0 0
"4591" "2" "17" "communal" "DEB" "beech" 0 0 0 70.2606957080289 79.0449016410381 39.5224461090763
"6463" "3" "17" "communal" "DEB" "beech" 99.577837624981 25.3974474639297 97.5862866890773 171.236991801112 10.8402476037658 280.500412670203
"8335" "4" "17" "communal" "DEB" "beech" 360.937546213385 257.704562065627 238.179557562115 384.943644175627 157.420469227128 226.667145984054
"10207" "5" "17" "communal" "DEB" "beech" 364.928578301538 271.840476292618 310.012158225572 433.430722748978 114.251630880968 324.217959770091
"12079" "6" "17" "communal" "DEB" "beech" 221.828647568918 165.44332389295 189.777094609657 356.812094426023 387.312149283917 397.761231416946
"13951" "7" "17" "communal" "DEB" "beech" 153.337328055829 338.949616731394 253.315321782523 408.785196625594 160.280018727403 175.041426079751
"15823" "8" "17" "communal" "DEB" "beech" 51.1302020980563 48.0439088662394 202.353417012419 139.099449864784 249.902927009046 213.754041145118
"17695" "9" "17" "communal" "DEB" "beech" 0 92.3740167748174 15.7249723031113 52.8283082320206 167.907930478106 180.968116841471
"2719" "10" "17" "communal" "DEB" "beech" 32.0493917674234 91.3993557579109 391.468826936111 220.004495772458 342.106274507137 219.538637150065
"951" "1" "18" "communal" "DEB" "beech" 0 0 0 0 0 0
"4695" "2" "18" "communal" "DEB" "beech" 99.577843560283 4.97889217801415 0.248944608900708 0.0124472304450354 3.5136571469237 4.12792793939809
"6567" "3" "18" "communal" "DEB" "beech" 142.941768288938 12.1259802956959 1.87617138798128 4.97312290385293 8.81050573524827 0.982537666950703
"8439" "4" "18" "communal" "DEB" "beech" 209.117403020634 28.5027474617009 14.3103654763664 12.6244961519241 19.8784070163776 8.86494381217525
"10311" "5" "18" "communal" "DEB" "beech" 404.543153471541 38.473586588654 15.5157031440636 16.2763930684818 22.485355790873 6.83684933359203
"12183" "6" "18" "communal" "DEB" "beech" 253.784105763177 23.7806376666048 9.46119807797773 9.96191463438172 18.3387004530203 20.2825424868469
"14055" "7" "18" "communal" "DEB" "beech" 44.9435103892365 9.91404192225328 17.4431829326823 13.5379252357603 21.1161560930677 9.06980874102355
"15927" "8" "18" "communal" "DEB" "beech" 85.5420236015432 6.83361128497998 2.74387600756097 10.254864650999 7.46771572578915 12.8685321367418
"17799" "9" "18" "communal" "DEB" "beech" 18.7595717551323 0.937978587756615 4.6655997681287 1.019528603562 2.69239184177913 8.53001611599425
"2823" "10" "18" "communal" "DEB" "beech" 117.082957336966 7.45661745521947 4.94279866065652 19.8205812798384 11.9912538526148 17.7048764179876
"61" "1" "1" "national" "DEB" "beech" 401.255143437149 0 0 0 0 0
"62" "1" "1" "national" "DEB" "beech" 401.255143437149 0 0 0 0 0
"3805" "2" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"3806" "2" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"5677" "3" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"5678" "3" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"7549" "4" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"7550" "4" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"9421" "5" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"9422" "5" "1" "national" "DEB" "beech" 0 2.1657524668969 0 3.27977511246795 12.9602671947339 11.5024184960132
"11293" "6" "1" "national" "DEB" "beech" 0 401.255143437149 0 0 0 0
"11294" "6" "1" "national" "DEB" "beech" 0 401.255143437149 0 0 0 0
"13165" "7" "1" "national" "DEB" "beech" 0 0 66.6230708554399 9.79047894655006 5.68156893745881 4.52104904968113
"13166" "7" "1" "national" "DEB" "beech" 0 0 18.7132443576069 0 0 0
"15037" "8" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"15038" "8" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"16909" "9" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"16910" "9" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"1933" "10" "1" "national" "DEB" "beech" 0 0 0 0 0 0
"1934" "10" "1" "national" "DEB" "beech" 0 0 2.1657524668969 0 3.27977511246795 12.9602671947339
"1101" "1" "2" "national" "DEB" "beech" 0 35.9373823751196 62.9158323082392 46.896261039216 35.1232569975676 25.5739246935263
"1102" "1" "2" "national" "DEB" "beech" 0 0 90.8582449327817 9.43937471375997 7.03592981897965 5.2696049913706
"4845" "2" "2" "national" "DEB" "beech" 46.6937003703018 12.3817003229115 249.493117675078 144.300033380017 56.6405274627102 27.1315592676398
"4846" "2" "2" "national" "DEB" "beech" 46.6937003703018 0 154.700778192636 34.4703704430182 3.56979989174923 2.66086073154139
"6717" "3" "2" "national" "DEB" "beech" 0 0 0 18.6038101800771 0 0
"6718" "3" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"8589" "4" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"8590" "4" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"10461" "5" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"10462" "5" "2" "national" "DEB" "beech" 0 0 0 2.1657524668969 0 3.27977511246795
"12333" "6" "2" "national" "DEB" "beech" 0 35.9373823751196 108.63666061845 63.0435630175718 50.1662558012694 82.667738735986
"12334" "6" "2" "national" "DEB" "beech" 0 0 30.3081102324478 43.4765649846807 7.18525411839835 5.36683753142409
"14205" "7" "2" "national" "DEB" "beech" 0 10.4508363738415 1.98268872541509 33.5115529331534 24.3687745517945 9.05001026339511
"14206" "7" "2" "national" "DEB" "beech" 0 13.2627135374455 3.28323738899675 69.0766081931594 38.9142134240309 15.0866406488708
"16077" "8" "2" "national" "DEB" "beech" 0 5.45634251518133 1.44685037481213 46.334720085787 18.9979416047875 7.94909874343571
"16078" "8" "2" "national" "DEB" "beech" 0 45.8126871557678 0 151.781895585228 52.0727809886973 3.50244517681056
"17949" "9" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"17950" "9" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"2973" "10" "2" "national" "DEB" "beech" 0 0 0 0 0 0
"2974" "10" "2" "national" "DEB" "beech" 0 0 0 0 2.1657524668969 0
"1205" "1" "3" "national" "DEB" "beech" 99.577855430887 24.8418328559084 58.7695688527797 41.7861519423866 26.9444691825923 19.7029253922452
"1206" "1" "3" "national" "DEB" "beech" 99.577855430887 10.345906710088 5.19358891459176 42.8094813011807 29.8237738973537 13.4599238673587
"4949" "2" "3" "national" "DEB" "beech" 0 4.88956419490663 1.49314372994048 4.08731747338727 8.21417127429576 4.01626120868859
"4950" "2" "3" "national" "DEB" "beech" 0 0 27.2189098655471 26.316480796516 129.631833955491 71.0310393210118
"6821" "3" "3" "national" "DEB" "beech" 0 0 5.45634251518133 1.44685037481213 46.334720085787 18.9979416047875
"6822" "3" "3" "national" "DEB" "beech" 0 0 45.8126871557678 0 151.781895585228 52.0727809886973
"8693" "4" "3" "national" "DEB" "beech" 0 0 0 0 0 0
"8694" "4" "3" "national" "DEB" "beech" 0 0 0 0 0 0
"10565" "5" "3" "national" "DEB" "beech" 0 0 0 0 0 0
"10566" "5" "3" "national" "DEB" "beech" 0 0 0 0 0 2.1657524668969
"12437" "6" "3" "national" "DEB" "beech" 21.7678476679906 0.210524007253461 0.0525197311964236 0.124248559942452 0.088342815945849 0.0569650511259879
"12438" "6" "3" "national" "DEB" "beech" 21.7678476679906 50.6191655949441 13.513332129316 36.9389441779425 45.5642276631334 26.9386849697949
"14309" "7" "3" "national" "DEB" "beech" 0 48.3595155577766 78.7893227628864 47.3840979043643 47.2461939574223 41.690846792567
"14310" "7" "3" "national" "DEB" "beech" 0 0 0 11.2077864152253 10.836197975036 53.3778139816727
"16181" "8" "3" "national" "DEB" "beech" 0 0 0 10.3538626293974 6.18199570844131 69.659479136602
"16182" "8" "3" "national" "DEB" "beech" 0 0 0 45.8126871557678 0 151.781895585228
"18053" "9" "3" "national" "DEB" "beech" 12.7118989153287 0 0 0 0 0
"18054" "9" "3" "national" "DEB" "beech" 12.7118989153287 0 0.395423542978452 0.120751903509961 0.33054511448855 0.664287568061243
"3077" "10" "3" "national" "DEB" "beech" 0 0 0 0 0 0
"3078" "10" "3" "national" "DEB" "beech" 0 0 0 0 0 0
"1309" "1" "4" "national" "DEB" "beech" 0 21.7678476679906 0.210524007253461 0.0525197311964236 0.124248559942452 0.088342815945849
"1310" "1" "4" "national" "DEB" "beech" 0 9.76215678505197 18.5620600735327 8.2695853036275 15.6047481820932 18.2788117551159
"5053" "2" "4" "national" "DEB" "beech" 0 8.20900137594919 56.586581507687 81.105027260104 55.1190869257769 55.6588392286523
"5054" "2" "4" "national" "DEB" "beech" 0 0 0 0 0.211467668211798 0.204456565566717
"6925" "3" "4" "national" "DEB" "beech" 0 0 0 0 0.195355898667876 0.116641428461157
"6926" "3" "4" "national" "DEB" "beech" 0 0 0 0 24.3577606445055 6.06535427998015
"8797" "4" "4" "national" "DEB" "beech" 54.7859771693143 12.7118989153287 0 0 0 0
"8798" "4" "4" "national" "DEB" "beech" 54.7859771693143 12.7118989153287 0 0.395423542978452 0.120751903509961 0.33054511448855
"10669" "5" "4" "national" "DEB" "beech" 0 0 0 0 0 0
"10670" "5" "4" "national" "DEB" "beech" 0 0 0 0 31.6134332419918 0
"12541" "6" "4" "national" "DEB" "beech" 20.6995956932261 0 0.18292308964698 0.00176910930465093 0.000441342278961543 0.00104410554573489
"12542" "6" "4" "national" "DEB" "beech" 20.6995956932261 0 31.3470813633956 18.7708149714815 8.32166369254496 15.7279526364899
"14413" "7" "4" "national" "DEB" "beech" 0 0 0.154886818414136 1.06767134920164 1.53028353320951 1.03998277218447
"14414" "7" "4" "national" "DEB" "beech" 0 0 8.05411455753505 55.5189101584853 79.5747437268945 54.2905718218042
"16285" "8" "4" "national" "DEB" "beech" 0 0 4.5996457154096 2.00389453106135 20.7789349798188 24.1649091477792
"16286" "8" "4" "national" "DEB" "beech" 0 0 0 0 0 24.3577606445055
"18157" "9" "4" "national" "DEB" "beech" 0 54.7859771693143 12.7118989153287 0 0 0
"18158" "9" "4" "national" "DEB" "beech" 0 54.7859771693143 12.7118989153287 0 0.395423542978452 0.120751903509961
