vol age owner nuts species area
1 2 national DEB spruce 0
1 2 national DEC beech 0
1 2 national DEC spruce 0
1 2 national DED beech 0
1 2 national DED spruce 0
1 2 national DEE beech 0
1 2 national DEE spruce 0
1 2 national DEF beech 0
1 2 national DEF spruce 0
1 2 national DEG beech 0
1 2 national DEG spruce 0
1 2 private DE1 beech 188.271863199392
1 2 private DE1 spruce 1142.60749193053
1 2 private DE2 beech 399.603301424587
1 2 private DE2 spruce 3629.07754047862
1 2 private DE3_4 beech 0
1 2 private DE3_4 spruce 0
1 2 private DE7 beech 0
1 2 private DE7 spruce 399.750473305566
1 2 private DE8 beech 0
1 2 private DE8 spruce 138.976488200101
1 2 private DE9_5_6 beech 397.707273697315
1 2 private DE9_5_6 spruce 1851.62022426777
1 2 private DEA beech 0
1 2 private DEA spruce 1771.38167165372
1 2 private DEB beech 99.577855430887
1 2 private DEB spruce 505.856280501934
1 2 private DEC beech 0
1 2 private DEC spruce 0
1 2 private DED beech 0
1 2 private DED spruce 0
1 2 private DEE beech 0
1 2 private DEE spruce 0
1 2 private DEF beech 0
1 2 private DEF spruce 57.9886241859258
1 2 private DEG beech 200.194405789034
1 2 private DEG spruce 1273.00241430685
1 3 communal DE1 beech 200.048277251696
1 3 communal DE1 spruce 300.072421839447
1 3 communal DE2 beech 399.603349061013
1 3 communal DE2 spruce 199.801592039801
1 3 communal DE3_4 beech 0
1 3 communal DE3_4 spruce 0
1 3 communal DE7 beech 0
1 3 communal DE7 spruce 399.750473305566
1 3 communal DE8 beech 0
1 3 communal DE8 spruce 0
1 3 communal DE9_5_6 beech 0
1 3 communal DE9_5_6 spruce 0
1 3 communal DEA beech 0
1 3 communal DEA spruce 398.361846141018
1 3 communal DEB beech 0
1 3 communal DEB spruce 108.149725404484
1 3 communal DEC beech 395.413822585344
1 3 communal DEC spruce 0
1 3 communal DED beech 0
1 3 communal DED spruce 0
1 3 communal DEE beech 0
1 3 communal DEE spruce 0
1 3 communal DEF beech 99.5505050505051
1 3 communal DEF spruce 0
1 3 communal DEG beech 200.194405789034
1 3 communal DEG spruce 200.194405789034
1 3 land DE1 beech 464.008656009666
1 3 land DE1 spruce 334.255804008781
1 3 land DE2 beech 399.603301424587
1 3 land DE2 spruce 2103.16604910198
1 3 land DE3_4 beech 0
1 3 land DE3_4 spruce 329.389795908754
1 3 land DE7 beech 799.501041919072
1 3 land DE7 spruce 0
1 3 land DE8 beech 0
1 3 land DE8 spruce 0
1 3 land DE9_5_6 beech 0
1 3 land DE9_5_6 spruce 1590.82909478926
1 3 land DEA beech 398.361893629456
1 3 land DEA spruce 0
1 3 land DEB beech 99.577831689679
1 3 land DEB spruce 99.577831689679
1 3 land DEC beech 0
1 3 land DEC spruce 0
1 3 land DED beech 0
1 3 land DED spruce 398.891247833622
1 3 land DEE beech 0
1 3 land DEE spruce 0
1 3 land DEF beech 0
1 3 land DEF spruce 0
1 3 land DEG beech 0
1 3 land DEG spruce 400.387940106638
1 3 national DE1 beech 0
1 3 national DE1 spruce 0
1 3 national DE2 beech 0
1 3 national DE2 spruce 0
1 3 national DE3_4 beech 0
1 3 national DE3_4 spruce 0
1 3 national DE7 beech 0
1 3 national DE7 spruce 0
1 3 national DE8 beech 0
1 3 national DE8 spruce 0
1 3 national DE9_5_6 beech 0
1 3 national DE9_5_6 spruce 397.707273697315
1 3 national DEA beech 0
1 3 national DEA spruce 0
1 3 national DEB beech 99.577855430887
1 3 national DEB spruce 0
1 3 national DEC beech 0
1 3 national DEC spruce 0
1 3 national DED beech 0
1 3 national DED spruce 0
1 3 national DEE beech 0
1 3 national DEE spruce 0
1 3 national DEF beech 0
1 3 national DEF spruce 0
1 3 national DEG beech 0
1 3 national DEG spruce 0
1 3 private DE1 beech 267.972507371318
1 3 private DE1 spruce 541.914457176863
1 3 private DE2 beech 0
1 3 private DE2 spruce 2597.42144822375
1 3 private DE3_4 beech 0
1 3 private DE3_4 spruce 395.072644417638
1 3 private DE7 beech 0
1 3 private DE7 spruce 0
1 3 private DE8 beech 0
1 3 private DE8 spruce 51.5092144820176
1 3 private DE9_5_6 beech 0
1 3 private DE9_5_6 spruce 0
1 3 private DEA beech 398.361893629456
1 3 private DEA spruce 398.361941117895
1 3 private DEB beech 99.577843560283
1 3 private DEB spruce 0
1 3 private DEC beech 0
1 3 private DEC spruce 0
1 3 private DED beech 0
1 3 private DED spruce 0
1 3 private DEE beech 0
1 3 private DEE spruce 0
1 3 private DEF beech 0
1 3 private DEF spruce 199.10101010101
1 3 private DEG beech 0
1 3 private DEG spruce 270.15517926538
1 4 communal DE1 beech 200.048289175503
1 4 communal DE1 spruce 502.093859651809
1 4 communal DE2 beech 0
1 4 communal DE2 spruce 0
1 4 communal DE3_4 beech 0
1 4 communal DE3_4 spruce 0
1 4 communal DE7 beech 0
1 4 communal DE7 spruce 0
1 4 communal DE8 beech 0
1 4 communal DE8 spruce 0
1 4 communal DE9_5_6 beech 0
1 4 communal DE9_5_6 spruce 0
1 4 communal DEA beech 0
1 4 communal DEA spruce 0
1 4 communal DEB beech 99.577843560283
1 4 communal DEB spruce 321.686389584408
1 4 communal DEC beech 0
1 4 communal DEC spruce 0
1 4 communal DED beech 0
1 4 communal DED spruce 199.445623916811
1 4 communal DEE beech 0
1 4 communal DEE spruce 0
1 4 communal DEF beech 0
1 4 communal DEF spruce 0
1 4 communal DEG beech 0
1 4 communal DEG spruce 200.194405789034
1 4 land DE1 beech 0
1 4 land DE1 spruce 163.073099575499
1 4 land DE2 beech 399.603301424587
1 4 land DE2 spruce 605.738024383336
1 4 land DE3_4 beech 0
1 4 land DE3_4 spruce 0
1 4 land DE7 beech 399.750473305566
1 4 land DE7 spruce 0
1 4 land DE8 beech 0
1 4 land DE8 spruce 99.9742729334978
1 4 land DE9_5_6 beech 0
1 4 land DE9_5_6 spruce 397.707273697315
1 4 land DEA beech 0
1 4 land DEA spruce 0
1 4 land DEB beech 298.733554422057
1 4 land DEB spruce 99.577843560283
1 4 land DEC beech 0
1 4 land DEC spruce 0
1 4 land DED beech 0
1 4 land DED spruce 199.445623916811
1 4 land DEE beech 0
1 4 land DEE spruce 0
1 4 land DEF beech 0
1 4 land DEF spruce 0
1 4 land DEG beech 0
1 4 land DEG spruce 0
1 4 national DE1 beech 0
1 4 national DE1 spruce 0
1 4 national DE2 beech 0
1 4 national DE2 spruce 0
1 4 national DE3_4 beech 0
1 4 national DE3_4 spruce 0
1 4 national DE7 beech 0
1 4 national DE7 spruce 0
1 4 national DE8 beech 0
1 4 national DE8 spruce 0
1 4 national DE9_5_6 beech 0
1 4 national DE9_5_6 spruce 0
1 4 national DEA beech 0
1 4 national DEA spruce 0
