"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"1554" "4" "13" "II" "manty" 0 0 0 207.060663640451 0.768227769985371 4.06811523651343 55.3304393311767 0.205284670069013 1.08707563922909 5.28987347018924 0.019626266177553 0.103930000440224 2.32107411779461 0.00861155162035215 0.0456020801714102 0.996137346926114 0.00369582690972644 0.019571083408324 0.413441164464062 0.00153393202847985 0.00812286733263193
"1854" "5" "13" "II" "manty" 1920.232654433 15.0097357309841 162.163061273654 1333.71248943529 10.4251284141648 112.631612448855 368.248074875311 2.87845656335541 31.0984374690488 142.831358524981 1.11645895647496 12.0620646101475 47.0622588432262 0.367867959389835 3.97439338762008 23.921835286255 0.186987980345975 2.0201916847668 10.0195132080462 0.0783187626034222 0.846144830699353
"2154" "6" "13" "II" "manty" 4866.84357474656 93.7861836602395 843.583595315397 2334.94366186064 44.9953756976825 404.722309003709 966.451573120718 18.6239404129908 167.517751542662 498.120824878072 9.59900404636234 86.340674381341 174.817521881846 3.36880936533747 30.3016095274636 96.8980320180413 1.86726704641067 16.7956066336121 45.6010860186995 0.878752678768567 7.90416365414918
"2454" "7" "13" "II" "manty" 11966.8350205477 73.2226118281684 2646.60893749338 7280.45304482894 44.5476006245066 1610.15941678482 4176.77669980723 25.5568409239193 923.744208443011 2780.15170252463 17.0111786941027 614.863857557584 1364.52120334848 8.3492256918838 301.780212226578 970.564512683704 5.93868541217526 214.651970155183 708.508031548885 4.33521549199644 156.695039696244
"2754" "8" "13" "II" "manty" 16511.0472538058 87.8170868834333 3850.17659355602 13554.1844796396 72.0904602709702 3160.67194442921 9661.73672684154 51.3877503070154 2253.00018993111 9107.91431213135 48.442142414131 2123.85549878425 6869.85148314757 36.5385874861933 1601.96630625742 6188.24649456516 32.9133441214075 1443.02426383269 6071.7766514534 32.2938775197668 1415.86490459213
"3054" "9" "13" "II" "manty" 8767.57342116674 0 4581.55152459465 10771.9102396136 0 5628.93053874546 12017.3870931658 0 6279.76242838363 13765.7160748877 0 7193.36291131353 13776.8353743409 0 7199.17337230594 14582.7990646301 0 7620.33484956236 17162.6725080146 0 8968.46420531593
"354" "10" "13" "II" "manty" 1717.52621043684 51.9785507667757 3045.28775796064 4118.90406269369 124.652923853633 7303.08978233591 6723.34177903216 203.472622344972 11920.9303985319 8894.50669856618 269.179920031182 15770.5496414831 13568.1881413827 410.622412534041 24057.2964730187 18239.6343475682 551.997258697649 32340.0800819222 27504.6472252711 832.390034826534 48767.5617252096
"654" "11" "13" "II" "manty" 150.248613033625 0 2228.15496349864 467.729340995724 0 6936.32661008549 873.33823168717 0 12951.4201592756 1292.48937556291 0 19167.3424418584 2455.90162824688 0 36420.4986146397 3690.03618706976 0 54722.4515401618 6162.19381125511 0 91384.0231158465
"66" "1" "14" "II" "manty" 0 0 0 77.5626067950674 0 0 0.285091738280102 0 0 0 0 0 0 0 0 0 0 0 1.31188716232435e-05 0 0
"966" "2" "14" "II" "manty" 0 0 0 344.223321590264 0 0 5.40185490321176 0 0 0 0 0 0 0 0 0 0 0 0.000119818605345218 0 0
"1266" "3" "14" "II" "manty" 0 0 0 133.77845998519 2.11311765478909 0 24.6090552366702 0.388716009244273 0 1.03665312320187 0.0163746093113392 0 0.0443782005495533 0.000700982498074904 0 0.0286821241915195 0.000453052778546433 0 0.0117661386772598 0.000185853801653622 0
"1566" "4" "14" "II" "manty" 1225.98565341866 4.54860043429261 24.0869068452313 85.4104139612974 0.316886127463356 1.67805608406731 131.289516520436 0.487104845148618 2.57944156635518 21.4536740035902 0.0795965194354349 0.421499750646734 2.51926087730561 0.00934685580427065 0.0494958500544331 1.0513856941297 0.00390080700503459 0.0206565461857513 0.479405454174655 0.00177866996320913 0.00941886594153925
"1866" "5" "14" "II" "manty" 2848.24086918401 22.2636265693877 240.533071617822 567.071541499501 4.43258474894676 47.8890185095213 466.092429024608 3.64326904332202 39.361363297627 129.919401508498 1.01553104956752 10.9716537831089 44.0302333561053 0.344167757653222 3.71833976114093 15.1391472006485 0.118337014085045 1.27849635796061 7.80235516046842 0.0609880728606248 0.658906510648552
"2166" "6" "14" "II" "manty" 5764.69183774789 111.088108573093 999.210143429754 1578.94825857766 30.427016832299 273.68351341707 1040.34903505342 20.0479765116251 180.32660509722 336.238572934932 6.47946293539432 58.2811713349424 147.454686265266 2.84151567134709 25.5587327752227 53.0904889564388 1.02307671726223 9.2023227915759 29.7652727356823 0.573589697842545 5.15929789077261
"2466" "7" "14" "II" "manty" 12747.4763072261 77.99919593026 2819.2571107783 4862.24884809282 29.7511045656219 1075.34458656642 2618.18672472894 16.0201481769669 579.043362242074 1225.51631294118 7.49868324561173 271.037615318075 720.654427726657 4.40953680175871 159.381360734951 314.687878387649 1.92551065729944 69.5969945295916 209.270353284305 1.28048241823084 46.2826458628065
"2766" "8" "14" "II" "manty" 13376.2803421068 71.1442439067091 3119.18685049807 15127.4377938067 80.4581016965022 3527.53559594861 10859.6828340897 57.7592502951601 2532.34673843094 7384.2467160053 39.2744945526502 1721.91705528874 6376.4779643736 33.9144883301466 1486.91756678839 4637.40152870744 24.6648856792533 1081.38596821197 4216.02162241961 22.4236979900301 983.125268739361
"3066" "9" "14" "II" "manty" 7712.24436462817 0 4030.08258151623 12043.5142653813 0 6293.41534920301 11326.0075897829 0 5918.47765030006 10310.3047019693 0 5387.71561493884 11006.8424664334 0 5751.6958753167 11079.9878409191 0 5789.91845822464 12204.9116648693 0 6377.75459179258
"366" "10" "14" "II" "manty" 2434.41898525396 73.6743171916086 4316.38614216855 3813.25157694672 115.402774918002 6761.14767549684 5860.20258506015 177.350910699444 10390.5274242737 7958.22157674597 240.844548238323 14110.4540912006 10105.6479210462 305.833430839847 17917.9832675713 14254.0946734392 431.380423259648 25273.45419596 18764.2364378373 567.873614013631 33270.2343430852
"666" "11" "14" "II" "manty" 234.884380104986 0 3483.2853815569 446.901761377344 0 6627.45803574483 831.209853002945 0 12326.6652668734 1273.93333785677 0 18892.1603507694 1728.37948906066 0 25631.5000824527 2832.3538485849 0 42003.2049460355 4007.93310204592 0 59436.7951516168
"78" "1" "15" "II" "manty" 0 0 0 0 0 0 77.5626067950674 0 0 0.285091738280102 0 0 0 0 0 0 0 0 0 0 0
"978" "2" "15" "II" "manty" 291.058857008301 16.666044478408 0 0 0 0 46.5115089361679 2.66325129101273 0 0.729899477588802 0.0417940800128781 0 0 0 0 0 0 0 0 0 0
"1278" "3" "15" "II" "manty" 378.167391165219 0 0 1.20434534226157 0 0 301.821387166547 0 0 5.98958618576135 0 0 0.0729076436924301 0 0 0.00469370253019932 0 0 0.00246693351886354 0 0
"1578" "4" "15" "II" "manty" 773.695014574799 11.8748138528845 0 108.064014020568 1.65858642813536 0 108.261976784208 1.66162479716158 0 30.5875886362114 0.469463954686632 0 3.0730321771368 0.0471654649183423 0 0.453298272325556 0.0069573055303431 0 0.179861089842109 0.00276054119648912 0
"1878" "5" "15" "II" "manty" 1150.9030315786 0 122.561662078143 1217.58820414647 0 129.663081886445 182.687428846177 0 19.4547014872825 168.156604350246 0 17.9072887576936 39.600451206223 0 4.21712080488829 11.678308732927 0 1.24364337333095 4.16169430579599 0 0.443186052329613
"2178" "6" "15" "II" "manty" 4458.15060638271 0 686.850553586527 3288.91540093496 0 506.710868088943 831.954486306278 0 128.176109317651 577.791401171873 0 89.018155462101 185.448127918459 0 28.5712979592964 79.3111914162235 0 12.219177981975 29.7554649219428 0 4.5843129490961
"2478" "7" "15" "II" "manty" 13577.2826750602 366.938672637366 2598.6431259935 7559.48218593625 204.302026076875 1446.85773204368 2766.89739381194 74.7779715063374 529.574220765559 1729.51359521501 46.7417109980485 331.022688639564 795.988801216514 21.5123365361693 152.349396867804 511.016673933109 13.8107001611606 97.8067555022343 285.270325088702 7.70969544761385 54.5997153541918
"2778" "8" "15" "II" "manty" 9965.95267481324 468.575170801209 2992.17306962995 9106.88402654462 428.183825214173 2734.2466918729 5777.80148615654 271.658355861299 1734.72447368104 3947.81906771647 185.616975547416 1185.29138995878 2542.2700558827 119.531435129995 763.289997971158 2153.77494156161 101.265327464392 646.648402663145 1647.09243884215 77.4423325134147 494.522279957241
"3078" "9" "15" "II" "manty" 8331.89457190852 1092.03734708035 2565.11981125692 13004.9750428613 1704.52450185041 4003.80955849086 14700.9661081617 1926.81315032504 4525.95014053621 12192.9630371834 1598.09643452132 3753.81742707748 10127.6232019052 1327.39830997461 3117.96635110345 10255.1496948074 1344.11283891991 3157.22761762336 10202.2078629113 1337.17390598522 3140.9285465455
"378" "10" "15" "II" "manty" 4086.48921789106 1255.81514154 3858.7507207206 5948.81128444788 1828.12357670408 5617.28628349119 8399.16686584093 2581.14003586862 7931.08447591657 10160.4777461664 3122.40681880495 9594.23816762667 12064.1307697556 3707.4166313343 11391.80132884 14726.8680252708 4525.69990216217 13906.145245086 19994.265465503 6144.41883404921 18879.99261995
"678" "11" "15" "II" "manty" 373.388723572914 355.116391272528 768.937509722889 1629.49833125493 1549.75640786018 3355.70495258434 2684.80915908537 2553.42403141332 5528.95772832617 4087.77512449024 3887.73377152916 8418.15359193325 5660.64563326043 5383.63352358576 11657.2421229348 7371.91391225677 7011.15834522827 15181.3398951651 11248.5060228876 10698.0436576444 23164.5940631978
"90" "1" "16" "II" "manty" 0 0 0 0 0 0 0 0 0 77.5626067950674 0 0 0.285091738280102 0 0 0 0 0 0 0 0
"990" "2" "16" "II" "manty" 1129.12913093698 64.653989613947 0 34.4119284114213 1.97042871461625 0 0 0 0 5.49906205318791 0.314876563833073 0 0.0862961149112303 0.00494131978736987 0 0 0 0 0 0 0
"1290" "3" "16" "II" "manty" 595.190062031956 0 0 174.619227824552 0 0 0.0926419494047358 0 0 46.472784250126 0 0 0.82568713769912 0 0 0.00560828028403308 0 0 0.000361054040784563 0 0
"1590" "4" "16" "II" "manty" 597.895091636801 9.17660419544291 0 549.770035566477 8.43797195440565 0 42.2301045115033 0.648155436722774 0 268.036477693362 4.11387332014895 0 13.2358594204584 0.203146412785495 0 1.32228570293484 0.020294684968742 0 0.298489558001621 0.00458127281619746 0
"1890" "5" "16" "II" "manty" 1018.11367968231 0 108.420693440356 308.604818780615 0 32.8638629643695 176.251501298351 0 18.7693283883915 82.7327636858897 0 8.8103556489489 28.4815814170512 0 3.03305305599881 6.74758556346325 0 0.718562102089715 2.27116229073056 0 0.241860015625592
"2190" "6" "16" "II" "manty" 4578.93785417689 0 705.459792111319 1974.78526827432 0 304.247764260546 1474.0574955003 0 227.102513170645 332.174123667372 0 51.1768221561216 236.798986786003 0 36.4827323082885 65.4649398544764 0 10.0859379033046 25.7339176829387 0 3.9647282398156
"2490" "7" "16" "II" "manty" 9460.6716229299 255.683436123237 1810.73856003367 5822.57494380872 157.360494905015 1114.41992594762 3757.88664166076 101.560376197041 719.246002556341 1289.34479619121 34.845740448149 246.775961865501 844.644171085878 22.8272930899824 161.66185986056 375.000420292448 10.1347345970282 71.7737332100822 241.265767322715 6.52043140980271 46.1774010894224
"2790" "8" "16" "II" "manty" 9712.1668555297 456.642770809159 2915.97653140704 9246.52358973561 434.749342260846 2776.17201041178 6249.44094366258 293.83371094963 1876.3292885314 2935.31436724659 138.011435119883 881.297442117116 1987.17600913655 93.4322455941899 596.628815444835 1151.51684843907 54.1415579166313 345.730891521529 925.445812318606 43.5122404976282 277.855427110328
"3090" "9" "16" "II" "manty" 8646.43264706759 1133.26294375443 2661.95587189377 11543.0919182184 1512.91970471831 3553.74321014714 12067.2186504947 1581.61548108814 3715.10481319768 10508.7274041514 1377.34853658757 3235.29596094165 8884.26062973145 1164.43437025392 2735.1753857435 7659.70647198255 1003.93559506623 2358.17492049647 8029.74735265793 1052.43578408763 2472.09849283686
"390" "10" "16" "II" "manty" 3328.63925882916 1022.92098646951 3143.13545299272 4426.69479825025 1360.36339708928 4179.99677287137 6333.70080542274 1946.40361183647 5980.72605716225 7503.50824036368 2305.89602969315 7085.34056658513 7649.53743249697 2350.77212279158 7223.23160712026 8023.02954456382 2465.5496309582 7575.90914516725 9305.65962700649 2859.71347004879 8787.05873865568
"690" "11" "16" "II" "manty" 674.4817216562 641.474955863414 1388.99292523131 1860.58134862743 1769.53103422932 3831.58541897169 3265.86989583525 3106.04969715462 6725.56428794273 4452.84971934239 4234.94289833038 9169.96941310356 5550.13251290856 5278.52852707679 11429.6570937407 6821.07518213481 6487.27572728988 14046.9709797198 8486.10957569294 8070.82918741344 17475.8570690865
"102" "1" "17" "II" "manty" 802.552150155705 0 0 0 0 0 0 0 0 0 0 0 12.9271011325112 0 0 0.0475152897133504 0 0 0 0 0
"1002" "2" "17" "II" "manty" 1401.55019923514 0 0 376.376376978994 0 0 11.4706428038071 0 0 0 0 0 40.6143240819297 0 0 0.171311240777128 0 0 0 0 0
"1302" "3" "17" "II" "manty" 564.517214275352 0 0 871.79076636438 0 0 57.8651311725246 0 0 0.0185283898809472 0 0 12.9605982188171 0 0 0.222668170813978 0 0 0.00112165605680662 0 0
"1602" "4" "17" "II" "manty" 300.833815354511 0 18.9921389729554 73.8192026683495 0 4.66032900689013 60.8928339785027 0 3.84426585825796 6.37523554623635 0 0.402479220418631 53.253010430667 0 3.36195109461223 1.78970073785999 0 0.112986783395287 0.213295187389741 0 0.01346567983521
"1902" "5" "17" "II" "manty" 564.59255820061 0 36.1793803992412 1204.90706831232 0 77.2110622731884 684.471302114887 0 43.8612717293016 116.36440801587 0 7.45669088511574 279.168353157457 0 17.8892511026059 24.5821733030291 0 1.57523825996721 4.43555114804419 0 0.284232390127187
"2202" "6" "17" "II" "manty" 3629.31987871647 64.0245668605266 679.33945715798 1760.37719598511 31.0546855197439 329.509034386009 706.122956836279 12.4566634996377 132.172749224186 462.592396676294 8.16055867763492 86.5884733628443 145.524046739691 2.56717907807972 27.2393258845337 79.415318378639 1.40095983027028 14.8650328657314 24.1340147606322 0.425746391415211 4.51742724103139
"2502" "7" "17" "II" "manty" 6283.04335224379 361.772201935928 1308.85064928039 6116.94692974596 352.208513587468 1274.25031338556 3465.1643986692 199.52116900942 721.844879749526 2362.96555097831 136.057512665559 492.240594603039 763.398665783854 43.9558349023561 159.027207573565 512.594427615483 29.5147437924831 106.780983639471 221.203156868295 12.7366864509765 46.0798818754841
"2802" "8" "17" "II" "manty" 5498.97689203539 1078.97810341569 1738.19181147603 6274.89213020005 1231.2237972099 1983.45371016317 4661.14700597235 914.583868051909 1473.3590842329 3188.63834733593 625.656558308181 1007.90841167661 1414.29400827697 277.504760737052 447.049389817806 990.533874522925 194.356947171341 313.101492057387 588.389019198327 115.450361125312 185.986047079822
"3102" "9" "17" "II" "manty" 5190.54653968451 3441.04823434017 2564.84552707732 5166.08065505198 3424.82869204868 2552.75600735412 5407.84519099665 3585.10534561069 2672.22101626652 4740.96901076522 3143.00294175701 2342.69225182836 3484.7585313054 2310.20415664727 1721.95110160913 2914.25614023124 1931.99229967163 1440.04427450602 2463.80039070596 1633.36479489897 1217.45703721166
"402" "10" "17" "II" "manty" 3098.56792962294 3318.64741030873 1381.1202079015 4864.86292743462 5210.3956157587 2168.40832615487 6218.27310312083 6659.93336243418 2771.66188898614 7175.82987682378 7685.50174739438 3198.47228669623 7169.03463181357 7678.22386200741 3195.44345195244 6957.39766089222 7451.55512295569 3101.1108105783 6994.51734330634 7491.31127505984 3117.6561130075
"702" "11" "17" "II" "manty" 581.546741344947 2495.28464586823 865.306547644044 1051.27999274694 4510.80306690932 1564.24135234133 1662.68585228146 7134.2063898512 2473.97647062195 2336.97741777284 10027.4379576489 3477.28173425638 2791.17003834634 11976.275070488 4153.09301567622 3144.24226819846 13491.2276123851 4678.44324217006 3598.21389666142 15439.116498399 5353.92570063099
"114" "1" "18" "II" "manty" 1101.48741162634 0 0 66.8793458463088 0 0 0 0 0 0 0 0 0 0 0 1.07725842770927 0 0 0.00395960747611253 0 0
"1014" "2" "18" "II" "manty" 862.718963049697 0 0 273.913711616132 0 0 37.6376376978994 0 0 1.14706428038071 0 0 0 0 0 6.21594926361151 0 0 0.0250503390299378 0 0
"1314" "3" "18" "II" "manty" 2082.48999958164 0 0 1641.35018740621 0 0 351.108573422423 0 0 14.2003896657432 0 0 0.0421007610299579 0 0 39.7576076380771 0 0 0.189119831249929 0 0
"1614" "4" "18" "II" "manty" 902.144255527103 0 56.953866886385 821.037626391747 0 51.8334705295081 841.182090193829 0 53.1052240244201 74.1050330743433 0 4.67837395568331 2.95851609519543 0 0.18677604034461 34.8419794115812 0 2.19963209354576 0.949402168969394 0 0.0599373375398094
"1914" "5" "18" "II" "manty" 300.374947843591 0 19.2481805553203 372.389390596825 0 23.8629029436428 293.52143944106 0 18.809004225482 171.487615043373 0 10.9890142338864 34.973655409924 0 2.24112975746667 84.2899587560766 0 5.40134374316157 7.22152744114236 0 0.462759178387567
"2214" "6" "18" "II" "manty" 3415.299932595 60.2490566250423 639.27900537147 2061.63670844617 36.3691825722202 385.899069020087 1767.58544643299 31.181845739336 330.858281382681 897.760083264899 15.8373200479736 168.043564084786 368.220511942163 6.49575115285671 68.92385655069 283.919584517104 5.00860465028972 53.1443308575437 71.7931798541561 1.26649824135309 13.438313915448
"2514" "7" "18" "II" "manty" 4864.22441156053 280.077834486421 1013.28972639396 4478.14511423508 257.84772247145 932.863711380448 3584.95434646747 206.418570595753 746.798893618781 1973.17813189404 113.613890206917 411.042123106327 1317.83008362166 75.8795164064815 274.523453665726 467.245721499347 26.9036045170043 97.3341789436335 298.974643560909 17.2147013891625 62.2808302290837
"2814" "8" "18" "II" "manty" 8297.84230411186 1628.15562376717 2622.89546384837 4526.68010945694 888.19953514363 1430.85494882251 4532.85865003434 889.411853384818 1432.80794641631 2953.95686310028 579.608686542412 933.727079001022 2073.06409074966 406.764895509195 655.28244579917 868.919021078645 170.494369369542 274.659806165439 623.561864704403 122.351777676243 197.103961056424
"3114" "9" "18" "II" "manty" 5959.83820905463 3951.04650144742 2944.98166151255 3665.24749982022 2429.85846312105 1811.13753314244 4027.22429506718 2669.82926439092 1990.0039698648 3633.24235616964 2408.6408047865 1795.32258014895 2993.96872551859 1984.83738038916 1479.43328031936 2007.48222089229 1330.85082637378 991.972956138024 1676.31351877869 1111.30410447 828.329964435713
"414" "10" "18" "II" "manty" 2715.2602109359 2908.11480400022 1210.26901207579 1881.41293095118 2015.04252701095 838.599468322797 2275.71663161745 2437.35211802596 1014.35188731424 2597.12352620217 2781.58732041468 1157.61211821834 2693.19056698387 2884.47763727954 1200.431941553 2449.75616183825 2623.75301333532 1091.92627574822 2334.20027814169 2499.98963525692 1040.41971860952
"714" "11" "18" "II" "manty" 529.611842662131 2272.44382146907 788.03054438154 828.743239861911 3555.94853306538 1233.12005860401 1207.1770101914 5179.72167019503 1796.20673080926 1553.68393654929 6666.50398975234 2311.78818087132 1841.06467232019 7899.58928884455 2739.39341816353 1914.08093437488 8212.8854431354 2848.03722122963 1972.91641349434 8465.33508688984 2935.5808728338
"126" "1" "19" "II" "manty" 0 0 0 367.162470542113 0 0 22.2931152821029 0 0 0 0 0 0 0 0 0 0 0 0.359086142569756 0 0
"1026" "2" "19" "II" "manty" 228.5790235063 18.0756118904666 82.2698564043236 1109.83142089759 87.7634426828189 399.449040553516 221.334706247476 17.5027445066915 79.6624914261702 26.1554693752399 2.06832676939312 9.41384155326643 0.797127728837341 0.0630354055790939 0.286901145964276 0 0 0 4.81871910421919 0.381055509823027 1.73434693470881
"1326" "3" "19" "II" "manty" 248.069345162938 14.1342359610166 28.1334314510681 456.995160779275 26.0381927934481 51.8276130442836 361.671904607897 20.6069638989076 41.0170459771249 86.3419471988199 4.9195012557484 9.79200090714252 4.0325917177396 0.229764797563098 0.457334390053938 0.0488891493168699 0.00278555486944241 0.00554449615732964 8.96226155662689 0.510642375028279 1.01640600125056
"1626" "4" "19" "II" "manty" 262.947994507025 11.5660134252078 17.0786231421998 207.719835313646 9.13675119836444 13.4915225085955 190.475406501231 8.37823887151306 12.371486961103 193.877441911192 8.52788058031713 12.592451113319 19.1837058791048 0.843813242078317 1.24599270587432 1.17221450698737 0.0515609512461109 0.0761360049320401 9.07250388739811 0.399062567328664 0.589264333958917
"1926" "5" "19" "II" "manty" 534.119123400579 10.754901230595 75.8988743987703 1837.35435815226 36.9965496118566 261.089935832245 1490.28677245987 30.0080756162094 211.771276491535 635.400536811296 12.7942807435251 90.2910669614485 106.14404262467 2.1372923092069 15.0831771535458 22.9233627854321 0.461579621154138 3.25743332643063 66.7719529957837 1.34450486414246 9.48836289837678
"2226" "6" "19" "II" "manty" 2308.00176796787 239.696388007118 273.853760562546 2086.47086842511 216.689405434865 247.568221806654 1553.47206015434 161.335076453094 184.325753778207 1348.98952098491 140.098642959115 160.06307205148 586.536198025458 60.9144282527636 69.5948962278118 241.302724037423 25.060375676824 28.6315458370804 197.136383118479 20.4735020718341 23.3910305485719
"2526" "7" "19" "II" "manty" 3185.60510952503 884.409806272158 467.047875222375 3110.48310194773 863.553913001029 456.034088888183 2249.65454055772 624.564711566082 329.826308355121 1897.3084089048 526.743932366502 278.168144058714 1036.74372118244 287.827989371084 151.999050566752 594.01630491794 164.914930474012 87.0899071042535 287.454952544431 79.8052395545342 42.144339989473
"2826" "8" "19" "II" "manty" 5228.1885436818 4312.31283316579 2198.41224677261 2799.42617079938 2309.02181529532 1177.13673223558 1924.81598277314 1587.62611459875 809.370012951404 1755.18931366713 1447.71469864245 738.04332998536 1115.88081929566 920.400467031264 469.219126009303 785.311294617461 647.740215471278 330.217235509277 355.264240728571 293.028939499539 149.385824771356
"3126" "9" "19" "II" "manty" 4199.70069921276 5639.6921435574 834.453203993044 4571.41425742273 6138.85867565897 908.310269491571 2791.16048559927 3748.19230927404 554.58542807674 2851.11629195397 3828.70573493855 566.498256702848 2196.57383423953 2949.73406034068 436.444929071267 1725.81330529251 2317.55937772649 342.907874926686 1026.74304144935 1378.79222331238 204.007161933129
"426" "10" "19" "II" "manty" 1142.52760867409 3975.60972971731 854.58601457428 989.228384797736 3442.18026913017 739.921500758413 683.615434880919 2378.7505471763 511.32960425729 751.063155981214 2613.44580899564 561.779045242012 704.784897181096 2452.41311747614 527.16390557346 651.955972032453 2268.58632218741 487.649008730472 518.711997316374 1804.94234694711 387.985388828284
"726" "11" "19" "II" "manty" 266.14214412616 4120.01527792963 171.202548853086 315.64791485373 4886.38969943644 203.048366280177 264.287557130421 4091.30533128896 170.00953967454 335.486989040491 5193.50862273891 215.810343827216 382.295916732964 5918.13454724139 245.921349945181 409.896216674007 6345.40117878485 263.675928854624 388.205566179849 6009.61891582314 249.722878829143
"150" "1" "20" "II" "manty" 0 0 0 16.4539712808647 0 0 153.322302219126 0 0 20.3911213416546 0 0 1.88276831065329 0 0 0.0573802291928553 0 0 0 0 0
"1050" "2" "20" "II" "manty" 464.933770567532 36.7661138044818 167.338340830113 58.5480324864934 4.62987152514069 21.072529541569 374.550101442777 29.618738252366 134.807571531483 64.8038902787789 5.12457333880991 23.3241295106405 7.61296369600687 0.602019271035338 2.74004771074084 0.254102630940134 0.0200939721710454 0.0914562790527868 0.000770605746344512 6.09380956214594e-05 0.000277355389499957
"1350" "3" "20" "II" "manty" 286.718532264114 16.336348962245 32.5166181573347 300.680800888261 17.1318765158618 34.1000726828458 1228.31986006895 69.9859256145259 139.303195888785 351.138666783146 20.0068120794607 39.8224762728119 64.0164332757809 3.64746144957271 7.26007454134696 2.88843097690209 0.164574002313057 0.32757564154669 0.0495714927531843 0.00282443272083105 0.00562188041566689
"1650" "4" "20" "II" "manty" 0 0 0 182.46324603924 8.02581650129478 11.8510925411276 305.852495818968 13.4532080360894 19.8652951241803 247.15218691394 10.8712200573172 16.0526763742286 89.4183007049668 3.93314757297107 5.80776994560887 7.35512479310482 0.323522041917899 0.477719576225676 0.663599867379516 0.0291890607093889 0.0431011922088865
"1950" "5" "20" "II" "manty" 1132.29273530382 22.7995890781462 160.899957208632 191.950400051358 3.86506961327667 27.2763484136953 303.393063543993 6.10905374757779 43.1124650186204 255.846680888507 5.15167059665039 36.3560753535042 165.585977999627 3.33420160510121 23.5299370417142 23.0890291278622 0.464915440959139 3.2809746833402 4.11251068576968 0.0828085801414904 0.58439197985566
"2250" "6" "20" "II" "manty" 2765.92003725127 287.253264554203 328.18761845381 940.412805573342 97.6661092118838 111.58378943279 1911.52738783774 198.520736335834 226.810469057211 1517.62306661214 157.611996867535 180.072125453409 802.604857580784 83.354132578706 95.23231807911 219.597773182516 22.8062186852659 26.056165481252 76.884792582456 7.9848323040573 9.12269213611367
"2550" "7" "20" "II" "manty" 4100.89426528771 1138.51873600444 601.240231373127 1996.60674113486 554.311824729605 292.726469239229 1738.06684881195 482.534184933871 254.821423504403 1276.43644645755 354.373147806309 187.140875807825 1088.01225416509 302.061515424726 159.515631741147 533.700965308491 148.169767158027 78.2469556901941 284.195642429007 78.9003672528343 41.6664860773394
"2850" "8" "20" "II" "manty" 4090.88412172457 3374.24175691333 1720.18466399712 2379.73605298797 1962.85314408736 1000.66033182706 1796.72677484686 1481.97561433168 755.509506385541 1270.15868065993 1047.65188420491 534.091755792132 1119.02796171724 922.996292055362 470.542474695782 641.662135565238 529.255561201688 269.813891624399 398.906398802292 329.025850620083 167.737009695779
"3150" "9" "20" "II" "manty" 3862.36325300195 5186.68858892803 767.426448283951 2163.38988084599 2905.17200826854 429.851493440108 1742.56829347365 2340.05930854971 346.23698206359 1146.03725841662 1538.98998653115 227.710146668408 1102.45181705107 1480.45998907469 219.050003053471 775.283587475458 1041.11246740368 154.043804524781 580.784611998347 779.923772663156 115.398123585979
"450" "10" "20" "II" "manty" 1244.14413612517 4329.20088337307 930.592985915727 825.43400146074 2872.23120258349 617.406833976697 794.313740014346 2763.94321614156 594.129549471646 508.855658687546 1770.64562146348 380.613060069525 519.429928659391 1807.44050525059 388.522385991862 411.633793920612 1432.34640788278 307.893201652209 336.44125015888 1170.70178213212 251.650800320995
"750" "11" "20" "II" "manty" 235.997217351635 3653.35653332945 151.811075489356 150.593252529618 2331.25987322409 96.8728525044323 120.310686167019 1862.47039804168 77.3928390548075 85.4532632164575 1322.85982423684 54.9699354023995 92.4624880127156 1431.36617651653 59.478793458472 84.0919341565804 1301.78576043759 54.0942266504318 78.3151632807853 1212.35841948218 50.3781752098619
"162" "1" "21" "II" "manty" 0 0 0 55.779446943371 0 0 12.5088336074779 0 0 96.0432912502031 0 0 14.5717502840984 0 0 1.54093867379804 0 0 0.049612169415214 0 0
"1062" "2" "21" "II" "manty" 0 0 0 65.5338835027734 0 17.3745146180378 12.2054184066148 0 3.23593245494175 67.6947950752686 0 17.9474211466584 13.7834290058273 0 3.65429875277112 1.95936715956237 0 0.519472546663267 0.0766300258463151 0 0.020316352901489
"1362" "3" "21" "II" "manty" 496.773185447666 81.2077775088674 117.106494605062 462.407355058471 75.5899768909892 109.00528856383 274.351256922492 44.8483462555708 64.6740100509519 1212.97347485751 198.285420702852 285.939490798962 320.644988042428 52.4160071659626 75.5870317929761 57.4201832298925 9.38650796952635 13.535908488244 2.68453471245029 0.43884232086126 0.632836994890058
"1662" "4" "21" "II" "manty" 282.646401285726 7.47685287960126 26.7884957457714 195.722580093161 5.17745469220817 18.5500805257973 89.8975767599667 2.37806302365568 8.52026009046921 256.509344429526 6.78544860935183 24.3112930175062 115.389490482073 3.05240130517161 10.9363178191006 38.000298900006 1.00522293212925 3.60157016254308 3.33496050772087 0.0882198002949365 0.316078941628144
