"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"1131" "2" "4" "I" "manty" 707.491509049864 2.86524069980045 21.5099481930265 2751.41447767602 11.142840080222 83.6515804293321 9294.65789728856 37.6420518937365 282.586585542315 43728.9527145837 177.096083097506 1329.49653161096 29931.5282573273 121.218462515961 910.011800732213 14424.9356101122 58.4189521335742 438.563026824095 11947.3802642934 48.3852028630263 363.23761803511
"1431" "3" "4" "I" "manty" 6995.45509206116 0 41.1592304678264 11130.7331323469 0 65.4900080468037 20172.830619262 0 118.691089245773 89298.5817638175 0 525.406976229198 60960.1196589387 0 358.671677734872 29378.5801147543 0 172.855051436603 24332.6610075073 0 143.166325724835
"1731" "4" "4" "I" "manty" 29327.2746421037 0 642.598136239885 27938.2739765279 0 612.163353266443 20484.8164222583 0 448.848555305618 83213.5348383432 0 1823.31508977939 56550.78608768 0 1239.10012731537 27253.5849490517 0 597.16094004089 22572.6444645816 0 494.595540839018
"2031" "5" "4" "I" "manty" 44676.5509096392 0 3019.51535687109 42983.5096912558 0 2905.08924620145 11284.3138299291 0 762.663146717361 42960.6291722512 0 2903.54284037779 29052.1857399627 0 1963.52491869648 14001.1530660613 0 946.283807413468 11596.3845066697 0 783.754797296056
"2331" "6" "4" "I" "manty" 51332.0126184598 0 14906.5990764976 31958.4105565186 0 9280.58708371806 5716.48338636949 0 1660.04256644761 20909.0493305983 0 6071.89937707319 14121.821600308 0 4100.91718768715 6805.74561815322 0 1976.35970559933 5636.82452940205 0 1636.9099717346
"2631" "7" "4" "I" "manty" 19277.2791937872 0 15143.1157040352 12272.4571557234 0 9640.53260907424 1218.77856427092 0 957.401956511614 4093.30044283026 0 3215.46010689798 2749.36019612398 0 2159.73837093113 1325.00230048845 0 1040.84518062466 1097.42648167537 0 862.074778376313
"2931" "8" "4" "I" "manty" 11182.7929733985 0 0 6562.82613915068 0 0 406.04562622493 0 0 1074.66964939836 0 0 711.493239834734 0 0 342.890749961411 0 0 283.99753660085 0 0
"3231" "9" "4" "I" "manty" 2298.44942134096 0 0 2299.08941807426 0 0 102.238596171607 0 0 277.795898715041 0 0 184.18277452625 0 0 88.7634149580239 0 0 73.5178513599298 0 0
"531" "10" "4" "I" "manty" 281.937364851906 0 0 283.079628598104 0 0 6.10455007263756 0 0 6.04064215285684 0 0 3.62173586871444 0 0 1.74542730507755 0 0 1.44564137415101 0 0
"831" "11" "4" "I" "manty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"243" "1" "5" "I" "manty" 0 0 0 2.68874352412831 0 0 43.7101792186116 0 0 321.768578537289 0 0 1635.48178004034 0 0 1122.81647681997 0 0 541.120227502453 0 0
"1143" "2" "5" "I" "manty" 0 0 0 55.4579340186571 1.72013951338695 2.27673319260306 283.872505583854 8.80487746721092 11.6539133194671 1341.96079143953 41.6236165955005 55.0919671117641 6583.7174646939 204.207256479944 270.283564431851 4513.88146175028 140.007124291528 185.309891781853 2175.38005001422 67.4737933692998 89.3066078647588
"1443" "3" "5" "I" "manty" 1097.28082416631 22.468577304593 27.3234253196111 918.437458473919 18.8064737674005 22.8700408816605 2101.72710878586 43.0362191490889 52.3351747650783 5832.35752808611 119.426835046893 145.231723590004 27189.3353899827 556.745065270313 677.042520616815 18602.8494043123 380.923051529736 463.230155158221 8965.29246735427 183.578681431969 223.245037920301
"1743" "4" "5" "I" "manty" 5833.10687320885 16.0735677610909 180.781973767497 3424.63029646011 9.43682814721944 106.137507485346 5247.56556423536 14.4600643380813 162.634644075182 10108.0051827423 27.8533738136174 313.271326500317 45770.3341260898 126.123622113367 1418.53244303074 31275.4336428844 86.1818260565935 969.300708403563 15072.6054679985 41.5337058950178 467.136197836295
"2043" "5" "5" "I" "manty" 32342.6623207966 207.954768230211 3553.77052904689 13326.5729292757 85.6863407632507 1464.3068545041 14931.5246644836 96.0057561164272 1640.65690635055 16580.7371854188 106.60975662052 1821.87027694144 71274.5379821576 458.276436237111 7831.55542484687 48581.3223153732 312.365058949228 5338.05380008831 23412.852168075 150.53844973948 2572.57436665428
"2343" "6" "5" "I" "manty" 39786.2741123194 0 24938.4992665647 29321.165787666 0 18378.8476756137 26613.968721441 0 16681.9450739802 12303.6440958316 0 7712.06719165897 49533.8673523286 0 31048.4040588678 33634.0258262893 0 21082.1984997287 16209.284493661 0 10160.1680095884
