"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"7489" "7" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8001" "8" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8513" "9" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"833" "10" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1345" "11" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 295.768951633987 0 0
"1857" "12" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2369" "13" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2881" "14" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3393" "15" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3905" "16" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4417" "17" "4" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"353" "1" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 12.4328662420382 0 0
"4961" "2" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5473" "3" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 11.9752147239264 0 0 11.8989394709077 0 0
"5985" "4" "5" "SE11" "BT" 0 0 0 0 0 0 17.4622699386503 0 0 11.901747148933 0 0 11.8259398422519 0 0
"6497" "5" "5" "SE11" "BT" 0 0 0 18.1296178343949 0 0 17.3510452893595 0 0 11.8259398422519 0 0 11.7506153846579 0 0
"7009" "6" "5" "SE11" "BT" 0 0 0 0 0 0 14.9676599474145 0 0 10.2014975562283 0 0 10.1365198647873 0 0
"7521" "7" "5" "SE11" "BT" 2000.59 0 0 2828.2203821656 0 0 2706.76306514009 0 0 1844.84661539129 0 0 1833.09600000663 0 0
"8033" "8" "5" "SE11" "BT" 0 0 0 0 0 0 89.8059596844873 0 0 61.2089853373696 0 0 60.8191191887239 0 0
"8545" "9" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"865" "10" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1377" "11" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1889" "12" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2401" "13" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2913" "14" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3425" "15" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3937" "16" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4449" "17" "5" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"385" "1" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4993" "2" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5505" "3" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 11.9752147239264 0 0
"6017" "4" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 17.4622699386503 0 0 11.901747148933 0 0
"6529" "5" "6" "SE11" "BT" 0 0 0 0 0 0 18.1296178343949 0 0 17.3510452893595 0 0 11.8259398422519 0 0
"7041" "6" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 14.9676599474145 0 0 10.2014975562283 0 0
"7553" "7" "6" "SE11" "BT" 0 0 0 12.6619620253165 0 0 17.9001290010481 0 0 17.1314118046841 0 0 11.6762444012107 0 0
"8065" "8" "6" "SE11" "BT" 2000.59 0 0 1987.92803797468 0 0 2810.32025316456 0 0 2697.11548330911 0 0 1838.27111976819 0 0
"8577" "9" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 44.9029798422436 0 0 30.6044926686848 0 0
"897" "10" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 37.4191498685364 0 0 25.5037438905707 0 0
"1409" "11" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1921" "12" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2433" "13" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2945" "14" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3457" "15" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3969" "16" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4481" "17" "6" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"417" "1" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5025" "2" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5537" "3" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6049" "4" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 17.4622699386503 0 0
"6561" "5" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 18.1296178343949 0 0 17.3510452893595 0 0
"7073" "6" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 14.9676599474145 0 0
"7585" "7" "7" "SE11" "BT" 0 0 0 0 0 0 12.6619620253165 0 0 17.9001290010481 0 0 17.1314118046841 0 0
"8097" "8" "7" "SE11" "BT" 0 0 0 12.6619620253165 0 0 12.5818230251562 0 0 17.7868370453453 0 0 17.0703511601842 0 0
"8609" "9" "7" "SE11" "BT" 952.38 0 0 1987.92803797468 0 0 1975.34621494953 0 0 2792.53341611921 0 0 2686.45984355496 0 0
"929" "10" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 44.7247934142982 0 0
"1441" "11" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 31.182624890447 0 0
"1953" "12" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2465" "13" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2977" "14" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3489" "15" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4001" "16" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4513" "17" "7" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"449" "1" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5057" "2" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5569" "3" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6081" "4" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6593" "5" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 15.9540636942675 0 2.17555414012739
"7105" "6" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7617" "7" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 10.6360481012658 0 2.02591392405063 15.0361083608804 0 2.8640206401677
"8129" "8" "8" "SE11" "BT" 0 0 0 0 0 0 10.3828088607595 0 2.27915316455696 10.3170948806281 0 2.26472814452812 14.5852063771831 0 3.20163066816215
"8641" "9" "8" "SE11" "BT" 0 0 0 4.85289171974522 0 1.21322292993631 10.1295696202532 0 2.53239240506329 10.065458420125 0 2.51636460503124 14.2294696362762 0 3.55736740906906
"961" "10" "8" "SE11" "BT" 742.8564 0 209.5236 738.124830573248 0 208.18905477707 1540.70753924051 0 434.558536708861 1530.95622570101 0 431.808166223362 2164.30233167762 0 610.44424739625
"1473" "11" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1985" "12" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2497" "13" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3009" "14" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3521" "15" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4033" "16" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4545" "17" "8" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"481" "1" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5089" "2" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5601" "3" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6113" "4" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6625" "5" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7137" "6" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 1.70176769620253 0 0.324146227848101
"7649" "7" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 1.86890559493671 0 0.410247569620253 10.578636521551 0 2.32213972424291
"8161" "8" "9" "SE11" "BT" 0 0 0 0 0 0 0.970578343949045 0 0.242644585987261 10.3321610126582 0 2.58304025316456 10.2667675885275 0 2.56669189713187
