"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"140" "10" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" "1" "6" "pub" 196.6815 34.7085 0 410.836852631579 72.5006210526316 0 356.006041425895 62.8245955457462 0 52.2261179069654 9.21637374828801 0 771.140465548266 136.083611567341 0 0 0 0
"216" "2" "6" "pub" 700.7485 123.6615 0 594.934837593985 104.98850075188 0 484.891857099526 85.5691512528575 0 70.8587322237887 12.5044821571392 0 1050.11613645917 185.314612316325 0 0 0 0
"290" "3" "6" "pub" 1450.0915 255.8985 0 2027.41627406015 357.779342481203 0 1650.76372149495 291.311244969697 0 237.077394110975 41.8371871960544 0 3573.9249294068 630.6926346012 0 0 0 0
"364" "4" "6" "pub" 746.691 131.769 0 1512.78586071429 266.962210714286 0 1306.17988753007 230.502333093541 0 180.522817212419 31.8569677433681 0 2862.26164352018 505.104995915326 0 0 0 0
"438" "5" "6" "pub" 0 0 0 88.506675 15.618825 0 100.275492449559 17.6956751381575 0 12.1464385458518 2.14348915515032 0 252.501825065576 44.5591455998076 0 0 0 0
"512" "6" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"586" "7" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"660" "8" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"734" "9" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"142" "10" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" "1" "7" "pub" 189.8144828449 60.3955171551 0 230.870926213316 73.4589309295414 0 382.556791432825 121.722615226681 0 327.984098896048 104.358576724951 0 48.0837465402593 15.2993738703629 0 710.419246653041 226.042487145758 0
"218" "2" "7" "pub" 0 0 0 183.624929147505 58.4261137096376 0 208.309202971089 66.2802008205331 0 172.432763057054 54.8649699602908 0 25.112648986803 7.99038829893595 0 373.422469707481 118.816240137726 0
"292" "3" "7" "pub" 753.1055175837 239.6244824163 0 980.596467112392 312.007966220941 0 1158.38661400938 368.577558308911 0 946.797437099349 301.253729418861 0 136.401155305256 43.4003675153991 0 2051.5558798874 652.767778734936 0
"366" "4" "7" "pub" 518.1910347183 164.8789652817 0 722.166015653928 229.780095457183 0 1160.0766898656 369.115309716693 0 969.069732010947 308.340368695569 0 136.866666971951 43.5484848636138 0 2110.36324046219 671.47921160986 0
"440" "5" "7" "pub" 375.0468967222 119.3331032778 0 644.310628645359 205.007926910197 0 1193.34955099975 379.702129148534 0 1024.73009405431 326.050483857836 0 142.327822969482 45.2861254050107 0 2253.54537098413 717.037162144684 0
"514" "6" "7" "pub" 209.227586302 66.572413698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"588" "7" "7" "pub" 0 0 0 0 0 0 33.5714974290529 10.6818400709471 0 38.0355316360871 12.1022145886924 0 4.60726979534835 1.46594947757756 0 95.7765543787534 30.4743581540347 0
"662" "8" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
