"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"298" "8" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"332" "9" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "10" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"28" "1" "6" "pub" 838.62912 231.05088 0 255.939994074074 70.51408 0 123.384756774494 33.9937595195034 0 4.69212048079858 1.29272707124043 0 111.898364779546 30.8291413168136 0 0 0 0
"96" "2" "6" "pub" 800.29152 220.48848 0 259.968343522536 71.623931378658 0 148.871200683469 41.0155348821804 0 7.90881258819534 2.17895857021708 0 141.063478303746 38.8644276959301 0 0 0 0
"130" "3" "6" "pub" 154.22064 42.48936 0 139.1087296633 38.3258744990724 0 87.7143526658079 24.166199203845 0 14.4748480115964 3.98796832972555 0 108.127213674637 29.7901507062774 0 0 0 0
"164" "4" "6" "pub" 367.63328 101.28672 0 352.699151546037 97.1722152218674 0 143.985615433714 39.6695062929621 0 57.5430810144315 15.8537059937719 0 257.331466097181 70.8974447410601 0 0 0 0
"198" "5" "6" "pub" 196.16464 54.04536 0 210.466638105072 57.9857064167035 0 78.9029978338481 21.7385810358561 0 58.3400128275149 16.0732688402337 0 169.006885722453 46.5631215765941 0 0 0 0
"232" "6" "6" "pub" 485.38224 133.72776 0 262.631689194817 72.3577102883681 0 57.9657185096921 15.9701469363437 0 76.3493995211629 21.0350386435857 0 219.643962251277 60.5141528651478 0 0 0 0
"266" "7" "6" "pub" 529.7488 145.9512 0 256.309933894163 70.6160021953306 0 61.2159980989742 16.8656321293092 0 104.7973255563 28.8727325512256 0 224.294709171161 61.7954810981769 0 0 0 0
"300" "8" "6" "pub" 158.57184 43.68816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"334" "9" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "10" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" "1" "7" "pub" 153.25364696304 50.28635303696 0 518.091185370311 169.998670629689 0 159.855638168168 52.4526314066227 0 79.6688267754643 26.1413338518306 0 3.27832841724133 1.07570151462858 0 72.9216235635629 23.9274077923247 0
"98" "2" "7" "pub" 736.24847012808 241.58152987192 0 600.089864660238 196.904487339762 0 194.757728396523 63.9048797917731 0 103.180614535977 33.8561392302655 0 5.4446050512489 1.78651103696049 0 97.5721284562305 32.0158547306931 0
"132" "3" "7" "pub" 1125.3458816496 369.2541183504 0 398.075445962968 130.618506037032 0 147.106425468969 48.2692959791152 0 83.0948077424876 27.2654838594789 0 6.79154725289715 2.22847644799439 0 84.6694888574922 27.7821761016469 0
"166" "4" "7" "pub" 316.13741156712 103.73258843288 0 249.733499326269 81.9438046737305 0 172.133451173651 56.4812888092385 0 90.1415433632382 29.5776939908871 0 20.3565841252548 6.67950418299678 0 122.952368371058 40.3437459738134 0
"200" "5" "7" "pub" 763.72329364032 250.59670635968 0 279.46582119004 91.6997228099603 0 266.129817869404 87.3238467093068 0 113.982583404225 37.4005352741259 0 46.845615452471 15.3712176092276 0 199.502111951803 65.4616306497877 0
"234" "6" "7" "pub" 494.23811733816 162.17188266184 0 262.513726652736 86.1373167758358 0 213.791630776072 70.1503790258622 0 74.0568167423275 24.2998930550492 0 51.8525429872915 17.0141157107467 0 168.043238672483 55.1391878288975 0
"268" "7" "7" "pub" 381.22164682056 125.08835317944 0 623.867219509243 204.706431919329 0 335.306481594946 110.022439551672 0 89.8580806459556 29.4846827865434 0 120.106604683559 39.4099797614905 0 285.561120370545 93.6997428586232 0
"302" "8" "7" "pub" 326.73129391344 107.20870608656 0 391.02780641107 128.305999303216 0 143.38051923119 47.0467329917514 0 32.1963458010274 10.5644259926876 0 45.2720433507494 14.854889262044 0 121.089911684756 39.7326273720747 0
"336" "9" "7" "pub" 0 0 0 67.9081346802465 22.2823567483249 0 35.8451298077976 11.7616832479378 0 8.04908645025686 2.6411064981719 0 11.3180108376874 3.713722315511 0 30.2724779211891 9.93315684301868 0
"64" "10" "7" "pub" 440.96752913616 144.69247086384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" "1" "8" "pub" 197.673 84.717 0 116.844401591379 50.076172110591 0 232.311015126688 99.5618636257232 0 72.5059517087229 31.0739793037384 0 36.6624037126096 15.7124587339755 0 1.61189200431798 0.690810858993421 0
"100" "2" "8" "pub" 738.766 316.614 0 659.051756479927 282.450752777111 0 694.082540903999 297.463946101714 0 222.914603085639 95.5348298938455 0 115.891367513774 49.6677289344746 0 5.90918090354549 2.53250610151949 0
"134" "3" "8" "pub" 305.942 131.118 0 452.933212950264 194.114234121542 0 260.60058970285 111.685967015507 0 91.7994668243028 39.3426286389869 0 49.6700327529548 21.2871568941235 0 3.72008548730908 1.59432235170389 0
"168" "4" "8" "pub" 655.144 280.776 0 645.699749532204 276.72846408523 0 267.464120993252 114.627480425679 0 128.029437908873 54.8697591038028 0 68.8131289991182 29.4913409996221 0 10.8336654362907 4.64299947269601 0
"202" "5" "8" "pub" 248.311 106.419 0 380.2415994606 162.960685483114 0 179.472834429788 76.9169290413378 0 123.423595513404 52.8958266486016 0 59.4386292285745 25.4736982408176 0 17.0519453162564 7.30797656410989 0
"236" "6" "8" "pub" 590.058 252.882 0 540.485412813195 231.636605491369 0 258.145977087746 110.633990180463 0 216.426242659446 92.7541039969053 0 90.0160828219119 38.5783212093908 0 41.4909068894755 17.7818172383467 0
"270" "7" "8" "pub" 269.738 115.602 0 552.124749708491 236.624892732211 0 473.280423254741 202.834467109175 0 298.864316462323 128.084707055281 0 99.7453007113642 42.7479860191561 0 82.8081484295676 35.4892064698147 0
"304" "8" "8" "pub" 108.115 46.335 0 100.051298008328 42.8791277178548 0 94.9415348924692 40.6892292396296 0 50.4813306553393 21.6348559951454 0 14.4185193877937 6.17936545191158 0 14.8412582692752 6.36053925826082 0
"338" "9" "8" "pub" 336.042 144.018 0 390.510141207668 167.361489089001 0 419.271905581371 179.687959534873 0 239.331709825487 102.570732782351 0 68.088447353913 29.180763151677 0 77.2561489010558 33.1097781004525 0
"66" "10" "8" "pub" 310.219 132.951 0 566.793678247944 242.911576391976 0 272.788058027095 116.909167725898 0 107.227345356464 45.9545765813416 0 24.0780875179861 10.3191803648512 0 33.856768362906 14.5100435841026 0
"34" "1" "9" "pub" 0 0 0 143.76096 95.84064 0 107.84911835498 71.899412236653 0 151.04083796499 100.69389197666 0 47.7875426175136 31.8583617450091 0 24.4902219314543 16.3268146209696 0
"102" "2" "9" "pub" 245.754 163.836 0 376.235409230769 250.823606153846 0 319.281245028125 212.854163352083 0 375.318519948009 250.212346632006 0 120.098033629278 80.0653557528523 0 62.0605989417165 41.373732627811 0
"136" "3" "9" "pub" 133.728 89.152 0 351.445606153846 234.297070769231 0 363.197644361657 242.131762907771 0 305.352578666341 203.568385777561 0 102.329566591637 68.219711061091 0 53.8185804282454 35.8790536188302 0
"170" "4" "9" "pub" 279.534 186.356 0 374.595064615385 249.730043076923 0 429.649489482277 286.432992988185 0 247.029578568488 164.686385712325 0 96.7465827737101 64.4977218491401 0 51.4465632720972 34.2977088480648 0
"204" "5" "9" "pub" 367.164 244.776 0 381.23248 254.154986666667 0 420.795786448187 280.530524298791 0 188.122587776677 125.415058517785 0 95.3279706500936 63.5519804333957 0 49.4204678139851 32.9469785426568 0
"238" "6" "9" "pub" 293.562 195.708 0 168.77468 112.516453333333 0 193.816617496178 129.211078330785 0 95.9335424617458 63.9556949744972 0 67.424479363342 44.9496529088947 0 29.6765678422634 19.7843785615089 0
"272" "7" "9" "pub" 972.258 648.172 0 572.0589 381.3726 0 726.397964724662 484.265309816441 0 442.678194569029 295.118796379353 0 307.32646557365 204.884310382434 0 120.381787487309 80.2545249915395 0
"306" "8" "9" "pub" 250.986 167.324 0 261.1672 174.111466666667 0 360.664503046718 240.443002031145 0 273.84993403043 182.566622686953 0 180.357148023955 120.238098682637 0 62.6901418711434 41.7934279140956 0
"340" "9" "9" "pub" 96.822 64.548 0 119.0119 79.3412666666667 0 153.425622229662 102.283748153108 0 134.699164104188 89.7994427361253 0 72.3624636251347 48.2416424167565 0 20.0414537976999 13.3609691984666 0
"68" "10" "9" "pub" 512.772 341.848 0 474.5818 316.387866666667 0 700.410008827555 466.940005885037 0 487.997061910102 325.331374606734 0 239.671747151686 159.781164767791 0 63.2496166140856 42.1664110760571 0
"4" "1" "10" "pub" 0 0 0 65.5344 43.6896 0 196.170082461538 130.780054974359 0 157.041077577486 104.694051718324 0 200.778830629462 133.852553752975 0 63.88450404615 42.5896693641 0
"72" "2" "10" "pub" 147.162 98.108 0 66.2578 44.1718666666667 0 159.138289230769 106.092192820513 0 134.661839582333 89.7745597215552 0 158.278105887288 105.518737258192 0 50.7740264921119 33.8493509947413 0
"106" "3" "10" "pub" 940.692 627.128 0 311.4908 207.660533333333 0 575.795282153846 383.863521435897 0 573.040290775377 382.026860516918 0 500.960986833185 333.973991222123 0 169.231152143534 112.820768095689 0
"140" "4" "10" "pub" 221.256 147.504 0 189.3014 126.200933333333 0 248.742580307692 165.828386871795 0 278.017067869305 185.34471191287 0 158.737287563748 105.824858375832 0 64.7722978062094 43.1815318708063 0
"174" "5" "10" "pub" 534.438 356.292 0 210.822 140.548 0 251.600393401709 167.73359560114 0 282.202660320411 188.135106880274 0 152.040558194893 101.360372129929 0 65.7827749547698 43.8551833031799 0
"208" "6" "10" "pub" 773.682 515.788 0 290.358618181818 193.572412121212 0 224.599044686869 149.732696457912 0 257.30819548164 171.53879698776 0 126.686349396693 84.4575662644621 0 76.4656212798079 50.9770808532053 0
"242" "7" "10" "pub" 405.792 270.528 0 562.421472727273 374.947648484849 0 347.597899858586 231.731933239057 0 429.241516548776 286.161011032518 0 249.970721160883 166.647147440589 0 170.933951703475 113.955967802317 0
"276" "8" "10" "pub" 547.788 365.192 0 506.155589090909 337.437059393939 0 360.553350565657 240.368900377104 0 455.926615752242 303.951077168161 0 286.151935662089 190.767957108059 0 189.258113984376 126.172075989584 0
"310" "9" "10" "pub" 143.49 95.66 0 309.64748 206.431653333333 0 233.635066 155.756710666667 0 310.95854630661 207.30569753774 0 214.689942534275 143.126628356184 0 136.159130543435 90.7727536956235 0
"38" "10" "10" "pub" 839.868 559.912 0 640.59044 427.060293333333 0 625.032011333333 416.688007555555 0 897.09018978582 598.06012652388 0 653.727282137482 435.818188091655 0 342.17042704613 228.113618030753 0
