"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"4" "1" "10" "pub" 203.54 316.187 174.067597005208 529.323406014385 551.887869952305 371.531520499104
"128" "2" "10" "pub" 244.4 202.043333333333 101.167090711806 214.817399260086 210.848649488189 143.288896558248
"190" "3" "10" "pub" 521.05 873.376333333333 401.992328016493 551.708664587467 468.678046000094 333.919424775147
"252" "4" "10" "pub" 975.76 1804.94233333333 1464.97403244358 1620.93772218419 1188.28191907122 944.077801448247
"314" "5" "10" "pub" 517.56 257.4885 587.397991536458 582.577182593006 364.976606460335 383.296375173428
"376" "6" "10" "pub" 434.05 303.692 721.651702473958 731.938522749256 450.831030661386 510.947091282641
"438" "7" "10" "pub" 185.58 116.4118 322.246796875 352.633050169643 202.8035610937 297.119841250691
"500" "8" "10" "pub" 0 186.2315 447.7333984375 463.83849765625 267.240248235369 371.591435464095
"562" "9" "10" "pub" 300.58 24.0048 53.739375 53.9103698571429 31.0947126915974 41.8184090322654
"66" "10" "10" "pub" 0 12.0024 26.8696875 26.9551849285714 15.5473563457987 20.9092045161327
"6" "1" "11" "pub" 0 134.764 185.36935 100.691355748698 293.662051907304 304.408502657058
"130" "2" "11" "pub" 261.9 271.519214285714 349.642168571428 178.858457799014 424.709783720938 424.606754034088
"192" "3" "11" "pub" 954.46 413.080992857143 671.964789047619 396.61009547278 507.565409611714 411.617713449336
"254" "4" "11" "pub" 295 1050.51975952381 1684.12820293651 1394.97280080083 1568.01228272676 1156.61683420585
"316" "5" "11" "pub" 782.9 297.109283333333 419.960291944444 333.606878318866 383.950960785393 285.683247408869
"378" "6" "11" "pub" 0 369.827183333333 219.357171166667 516.427372732205 521.294387268517 322.03318845668
"440" "7" "11" "pub" 415.47 545.119566666667 394.001831333333 973.218595768229 1009.9774659046 605.496309538897
"502" "8" "11" "pub" 0 40.5783 71.2151455 170.677506054687 176.578951575246 101.740476819275
"564" "9" "11" "pub" 0 109.7117 10.382076 23.2422796875 23.3162349632143 13.4484632391159
"68" "10" "11" "pub" 0 150.29 90.3589735 213.534657617187 219.572471536317 126.538510190824
"8" "1" "12" "pub" 201.07 39.285 121.586282142857 163.667935285714 87.2435821190709 239.903698702523
"132" "2" "12" "pub" 417.65 461.23 387.967180357143 539.334780547619 291.458755296836 605.359489328647
"194" "3" "12" "pub" 223.16 263.198333333333 190.813561507936 308.33521417328 215.400257268264 257.559042630158
"256" "4" "12" "pub" 398.33 595.8925 525.321646428571 844.684799211309 619.072401233252 727.117577300553
"318" "5" "12" "pub" 631.33 571.570833333333 732.42247281746 1096.96223933399 942.743547747994 1057.14137686403
"380" "6" "12" "pub" 0 104.118333333333 281.577949801587 315.68714960086 398.480279527127 426.487877682749
"442" "7" "12" "pub" 639.98 674.435 852.395481944444 673.555473222222 1382.65610996175 1439.74801731037
"504" "8" "12" "pub" 0 0 57.86165 56.006878125 133.818699462891 138.263272422238
