vol age ownership area
9 3 pub 0
9 4 pub 0
9 5 pub 0
9 6 pub 0
9 7 pub 0
9 8 pub 0
9 9 pub 453.14
9 10 pub 0
9 11 pub 161.37
9 12 pub 0
9 13 pub 203.15
9 14 pub 233.05
9 15 pub 737.5
9 16 pub 0
9 17 pub 233.05
9 18 pub 647.2
9 19 pub 465.64
9 20 pub 389.34
9 21 pub 1187.89
9 22 pub 472.22
9 23 pub 423.36
9 24 pub 264.02
9 25 pub 912.76
9 26 pub 1253.21
9 27 pub 728.97
9 28 pub 1216.95
9 29 pub 658.23
9 30 pub 0
9 31 pub 422.56
9 32 pub 509.33
9 33 pub 277.48
9 34 pub 959.81
9 35 pub 471.16
9 36 pub 203.19
9 37 pub 1168.39
10 1 pub 0
10 2 pub 0
10 3 pub 0
10 4 pub 0
10 5 pub 0
10 6 pub 0
10 7 pub 0
10 8 pub 241.1
10 9 pub 0
10 10 pub 0
10 11 pub 250.21
10 12 pub 713.15
10 13 pub 0
10 14 pub 0
10 15 pub 0
10 16 pub 229.5
10 17 pub 451.66
10 18 pub 244.21
10 19 pub 550.67
10 20 pub 1030.95
10 21 pub 1651.31
10 22 pub 478.2
10 23 pub 371.09
10 24 pub 588.31
10 25 pub 744.19
10 26 pub 495.48
10 27 pub 572.27
10 28 pub 698.08
10 29 pub 228.31
10 30 pub 201.07
10 31 pub 703.64
10 32 pub 178.46
10 33 pub 433.64
10 34 pub 0
10 35 pub 632.19
10 36 pub 300.58
10 37 pub 2570.01
1 1 priv 0
1 2 priv 10366.1
1 3 priv 225.04
1 4 priv 950.41
1 5 priv 1162.4
1 6 priv 1584.27
1 7 priv 974.74
1 8 priv 634.51
1 9 priv 481.71
1 10 priv 214.36
1 11 priv 181.32
1 12 priv 472.93
1 13 priv 1829.34
1 14 priv 947.62
1 15 priv 459.58
1 16 priv 960.88
1 17 priv 0
1 18 priv 0
1 19 priv 348.33
1 20 priv 203.23
1 21 priv 238.51
1 22 priv 525.88
1 23 priv 0
1 24 priv 221.17
1 25 priv 0
1 26 priv 216.58
1 27 priv 0
1 28 priv 227.35
1 29 priv 0
1 30 priv 0
1 31 priv 0
1 32 priv 0
1 33 priv 0
1 34 priv 0
1 35 priv 0
1 36 priv 0
1 37 priv 0
2 1 priv 0
2 2 priv 1641.69
2 3 priv 0
2 4 priv 0
2 5 priv 1269.77
2 6 priv 764.4
2 7 priv 561.92
2 8 priv 216.13
2 9 priv 992.65
2 10 priv 1932.69
2 11 priv 1993.99
2 12 priv 1362.07
2 13 priv 1819.31
2 14 priv 2494.39
2 15 priv 1100.54
2 16 priv 179.62
2 17 priv 1006.12
2 18 priv 845.37
2 19 priv 883.07
2 20 priv 677.04
2 21 priv 486.71
2 22 priv 280.99
2 23 priv 0
2 24 priv 502.44
2 25 priv 238.51
2 26 priv 688.53
2 27 priv 1253.72
2 28 priv 0
2 29 priv 0
2 30 priv 562.95
2 31 priv 238.51
2 32 priv 244.34
2 33 priv 0
2 34 priv 184.49
2 35 priv 157
2 36 priv 0
2 37 priv 225.04
3 1 priv 0
3 2 priv 723.74
3 3 priv 0
3 4 priv 0
