"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"34" "1" "9" "pub" 0 239.6016 179.748530591633 251.73472994165 79.6459043625227 40.8170365524239
"102" "2" "9" "pub" 409.59 627.059015384615 532.135408380208 625.530866580015 200.163389382131 103.434331569527
"136" "3" "9" "pub" 222.88 585.742676923077 605.329407269428 508.920964443902 170.549277652728 89.6976340470756
"170" "4" "9" "pub" 465.89 624.325107692308 716.082482470461 411.715964280814 161.24430462285 85.744272120162
"204" "5" "9" "pub" 611.94 635.387466666667 701.326310746978 313.537646294462 158.879951083489 82.3674463566419
"238" "6" "9" "pub" 489.27 281.291133333333 323.027695826963 159.889237436243 112.374132272237 49.4609464037723
"272" "7" "9" "pub" 1620.43 953.4315 1210.6632745411 737.796990948382 512.210775956084 200.636312478849
"306" "8" "9" "pub" 418.31 435.278666666667 601.107505077863 456.416556717383 300.595246706591 104.483569785239
"340" "9" "9" "pub" 161.37 198.353166666667 255.709370382769 224.498606840313 120.604106041891 33.4024229961665
"68" "10" "9" "pub" 854.62 790.969666666667 1167.35001471259 813.328436516836 399.452911919476 105.416027690143
"4" "1" "10" "pub" 0 109.224 326.950137435897 261.735129295811 334.631384382437 106.47417341025
"72" "2" "10" "pub" 245.27 110.429666666667 265.230482051282 224.436399303888 263.79684314548 84.6233774868532
"106" "3" "10" "pub" 1567.82 519.151333333333 959.658803589743 955.067151292295 834.934978055308 282.051920239224
"140" "4" "10" "pub" 368.76 315.502333333333 414.570967179487 463.361779782174 264.562145939581 107.953829677016
"174" "5" "10" "pub" 890.73 351.37 419.333989002849 470.337767200684 253.400930324822 109.63795825795
"208" "6" "10" "pub" 1289.47 483.93103030303 374.331741144781 428.8469924694 211.143915661155 127.442702133013
"242" "7" "10" "pub" 676.32 937.369121212121 579.329833097643 715.402527581294 416.617868601472 284.889919505792
"276" "8" "10" "pub" 912.98 843.592648484848 600.922250942761 759.877692920404 476.919892770148 315.43018997396
"310" "9" "10" "pub" 239.15 516.079133333333 389.391776666667 518.264243844351 357.816570890459 226.931884239059
"38" "10" "10" "pub" 1399.78 1067.65073333333 1041.72001888889 1495.1503163097 1089.54547022914 570.284045076884
"6" "1" "11" "pub" 0 49.054 76.6979333333333 216.521165128205 175.754844508683 220.075060820315
"74" "2" "11" "pub" 284.84 565.247333333333 259.310155555556 578.522372239316 520.213977908183 548.243125559922
"108" "3" "11" "pub" 282.39 666.170166666667 255.440511111111 459.109479440171 456.623942707843 391.628724323185
"142" "4" "11" "pub" 558.67 664.7615 310.734133333333 463.209398510763 491.573120341238 343.143651817238
"176" "5" "11" "pub" 372.43 673.695615384615 323.779862470862 447.653346682142 483.472870112199 314.387324552026
"210" "6" "11" "pub" 1229.45 988.132038461538 446.291928904429 391.928729768912 449.996002841888 237.062844988874
"244" "7" "11" "pub" 202.26 974.084686813187 658.638181345321 457.11526676402 547.246893011743 301.154954372047
"278" "8" "11" "pub" 1372.72 1034.00008791209 1061.26424052614 739.874868784893 925.131530204501 565.83695046971
"312" "9" "11" "pub" 178.46 713.225371428571 779.527949419914 602.279517214911 799.965424879607 537.805202583643
"40" "10" "11" "pub" 473.38 1261.9092 1082.615104 1015.22585546667 1442.50139348411 1044.03216051304
"8" "1" "12" "pub" 0 46.19027022408 112.874270181923 75.2169693325013 187.44521277182 160.36111829476
"76" "2" "12" "pub" 241.1 193.52237835576 425.830843181088 209.024903047973 464.414313351181 417.935716251873
"110" "3" "12" "pub" 504.96 246.591855848707 464.500073731348 195.362884613148 361.711561025027 352.273231071894
"144" "4" "12" "pub" 659.09 291.156036041431 464.284551970052 200.940514726836 320.223949444228 331.325343587721
"178" "5" "12" "pub" 486.49 517.096936962986 661.581494517549 311.317051227711 419.705180115406 452.648354534232
"212" "6" "12" "pub" 0 643.424504519183 739.771626610363 364.790067988775 366.093524191688 411.763077949488
"246" "7" "12" "pub" 306.16 184.84540528798 287.294547705948 233.404815420557 162.349583419744 198.617263251266
"280" "8" "12" "pub" 484.96 871.594775133413 1051.5498963591 743.258046654955 551.23745987171 668.98147342877
"314" "9" "12" "pub" 181.93 849.9108111689 1387.47155388801 1392.34203772556 1101.26862969391 1469.89154046677
"42" "10" "12" "pub" 0 440.72648658656 969.407629366825 818.602169431488 711.120316570884 978.347746878422
"10" "1" "13" "pub" 0 84.385 104.496516872554 238.879499912894 133.025283468604 311.736097324228
"78" "2" "13" "pub" 239.56 162.426810447829 98.629904275088 201.406182866009 92.3343160251928 190.67995347414
"112" "3" "13" "pub" 1004.54 402.344685436068 204.350551461735 378.518457173618 166.14001617797 311.239017981162
"146" "4" "13" "pub" 194.28 278.477158001463 150.556494161489 239.628561363726 104.681140390162 169.518836636302
"180" "5" "13" "pub" 705.98 491.183435321788 515.214543919752 673.481703862085 314.337802144362 414.48706426513
"214" "6" "13" "pub" 404.86 113.562930544732 270.215313365623 329.180275441552 167.688975162657 181.132337970673
"248" "7" "13" "pub" 393.71 141.618673448144 341.204848659361 422.053611398426 256.112669703727 218.118189920659
"282" "8" "13" "pub" 211.78 524.934765052896 996.11620877847 1351.44235989365 1110.12797600514 843.513145989499
"316" "9" "13" "pub" 0 81.12592850831 533.245111317377 957.991719847082 907.381647069053 739.968019781246
"44" "10" "13" "pub" 288.06 0 196.528035192326 432.276667044596 365.029742615546 317.101610305811
"12" "1" "14" "pub" 0 83.846 128.57663365674 123.342505837952 273.539738929063 145.388501557131
"80" "2" "14" "pub" 401.99 336.692142857143 158.595746518956 86.3126036779651 166.560393888408 74.5115454820613
"114" "3" "14" "pub" 232.5 324.76619047619 162.984747947098 86.1483910336488 157.667232576734 69.7074206013383
"148" "4" "14" "pub" 299.75 478.530952380952 287.993693354276 176.276224111399 283.66697205234 126.19383365863
"182" "5" "14" "pub" 1035.6 740.571714285714 507.590730039663 534.756444104028 705.906003359581 331.830614483116
"216" "6" "14" "pub" 0 340.2285 106.348000979216 254.529353713588 312.308901710225 173.483921977633
"250" "7" "14" "pub" 411.05 90.326 84.8455014975285 173.081032467382 228.01054388733 172.200375484554
"284" "8" "14" "pub" 518.51 207.1245 242.406367371146 517.335538272343 708.775658247986 562.562642088291
"318" "9" "14" "pub" 634.91 180.2385 258.709057382422 848.927787988741 1388.55640480913 1235.93690680752
"46" "10" "14" "pub" 181.93 144.03 0 98.2640175961631 216.138333522298 182.514871307773
"14" "1" "15" "pub" 0 140.6965 189.11135 164.798649889863 135.050541249547 290.804915950646
"82" "2" "15" "pub" 406.66 219.621111111111 219.344407407407 106.044193920748 57.0175189894797 107.694010935825
"116" "3" "15" "pub" 222.41 189.12746031746 251.166361300076 134.464150633097 76.1597905431737 132.550892556913
"150" "4" "15" "pub" 244.21 222.867678571429 265.988792006803 158.537757682417 113.727519996948 173.561028160514
"184" "5" "15" "pub" 0 643.15125 618.532098214286 386.748784324543 384.708898544967 522.805999040702
"218" "6" "15" "pub" 0 306.855833333333 311.925699404762 173.131891352526 240.846093999344 309.783272377744
"252" "7" "15" "pub" 719.82 482.915166666667 252.142141666667 182.511596671161 392.836646775929 519.382179807579
"286" "8" "15" "pub" 0 96.2947 33.329145 42.3502707538842 111.158498986446 168.076514161437
"320" "9" "15" "pub" 217.61 383.15465 136.923165 149.377805853374 451.745148049406 721.116337891559
"48" "10" "15" "pub" 181.93 474.11965 208.938165 149.377805853374 500.877156847488 829.185504652708
"16" "1" "16" "pub" 200.04 142.331 196.459413888889 237.515190092593 177.194320278646 134.749091708433
"84" "2" "16" "pub" 200.92 210.880125 132.003875 148.185322619048 75.0634122614686 41.373514638638
"118" "3" "16" "pub" 318.92 266.971875 216.568709325397 268.074365392101 147.741427925884 91.6756988167312
"152" "4" "16" "pub" 224.2 73.263 201.922066071429 209.688378227041 128.778572012879 114.907124693527
"186" "5" "16" "pub" 0 48.842 349.102294047619 349.012274100765 212.837658409747 214.930040881812
"220" "6" "16" "pub" 211.06 157.460625 416.017723958333 361.852896502976 221.013404887309 299.522711943156
"254" "7" "16" "pub" 415.32 454.386375 396.078812708333 229.315996315476 162.495269791128 332.042250547438
"288" "8" "16" "pub" 241.11 76.1635 182.2514775 64.58768025 73.457367425623 213.690051310515
"322" "9" "16" "pub" 0 86.24025 178.75960125 70.794970125 63.4855674876839 200.589789460662
"50" "10" "16" "pub" 0 177.20525 415.81942625 175.264052625 138.174470414371 451.028367884405
"18" "1" "17" "pub" 466.25 793.2284 905.21514775 986.600055172828 1058.55401192655 1029.475710083
"86" "2" "17" "pub" 908.83 724.14135 693.108937704545 619.204293287735 625.406342577315 555.830419567999
"120" "3" "17" "pub" 967.74 878.231295454545 732.0099843486 668.379303045835 644.146861112287 569.390364599996
"154" "4" "17" "pub" 1316.74 1196.88751010101 1023.99616374171 965.778566520912 953.346241568837 878.160577240103
"188" "5" "17" "pub" 934.82 720.288982905983 595.408753833108 720.208670272871 739.802747475494 640.061279103237
"222" "6" "17" "pub" 1503.81 1269.76384487179 1105.70937665409 1185.44036048274 1190.52687361033 1072.65172341969
"256" "7" "17" "pub" 1277.04 1379.28083095238 1344.81846618904 1307.90838265783 1255.66766385753 1168.09234295526
"290" "8" "17" "pub" 416.72 441.874261904762 407.488260462018 463.400935437596 355.52954647498 330.755872326483
"324" "9" "17" "pub" 903.64 1032.33252380952 1279.11209056689 1602.5047019654 1796.806763042 1839.1842244906
"52" "10" "17" "pub" 0 60.2775 149.86041875 352.19270115625 274.654781667187 222.15620312417
