vol age ownership area
10 30 pub 536.42
10 31 pub 467.43
1 1 priv 0
1 2 priv 2834.99
1 3 priv 253
1 4 priv 1513.98
1 5 priv 1214.82
1 6 priv 67.09
1 7 priv 0
1 8 priv 180.43
1 9 priv 0
1 10 priv 222.23
1 11 priv 222.23
1 12 priv 0
1 13 priv 0
1 14 priv 244.86
1 15 priv 0
1 16 priv 185.97
1 17 priv 254.52
1 18 priv 0
1 19 priv 0
1 20 priv 0
1 21 priv 0
1 22 priv 0
1 23 priv 0
1 24 priv 0
1 25 priv 0
1 26 priv 0
1 27 priv 0
1 28 priv 0
1 29 priv 0
1 30 priv 0
1 31 priv 0
2 1 priv 0
2 2 priv 0
2 3 priv 0
2 4 priv 194.28
2 5 priv 0
2 6 priv 763.74
2 7 priv 0
2 8 priv 0
2 9 priv 0
2 10 priv 462.63
2 11 priv 485.54
2 12 priv 448.05
2 13 priv 0
2 14 priv 833.25
2 15 priv 210.44
2 16 priv 358.31
2 17 priv 209.14
2 18 priv 0
2 19 priv 0
2 20 priv 185.97
2 21 priv 216.97
2 22 priv 477.57
2 23 priv 226.86
2 24 priv 0
2 25 priv 234.5
2 26 priv 0
2 27 priv 216.58
2 28 priv 0
2 29 priv 0
2 30 priv 471.1
2 31 priv 179.62
3 1 priv 0
3 2 priv 0
3 3 priv 0
3 4 priv 0
3 5 priv 194.28
3 6 priv 0
3 7 priv 185.97
3 8 priv 0
3 9 priv 607.38
3 10 priv 512.33
3 11 priv 235.8
3 12 priv 427.93
3 13 priv 486.25
3 14 priv 1112.19
3 15 priv 637.5
3 16 priv 244.34
3 17 priv 0
3 18 priv 652.18
3 19 priv 1005.11
3 20 priv 426.11
3 21 priv 347.01
3 22 priv 232.84
3 23 priv 551.38
3 24 priv 433.64
3 25 priv 403.56
3 26 priv 0
3 27 priv 0
3 28 priv 0
3 29 priv 0
3 30 priv 0
3 31 priv 388.68
4 1 priv 0
4 2 priv 0
4 3 priv 0
4 4 priv 0
4 5 priv 186.74
4 6 priv 0
4 7 priv 346.37
4 8 priv 235.8
4 9 priv 0
4 10 priv 0
4 11 priv 300.11
4 12 priv 678.21
4 13 priv 640.57
4 14 priv 197.1
4 15 priv 232.36
4 16 priv 222.72
4 17 priv 663.15
4 18 priv 699.1
4 19 priv 244.34
4 20 priv 441.11
4 21 priv 824.44
4 22 priv 244.34
4 23 priv 0
4 24 priv 248.31
4 25 priv 957.65
4 26 priv 1052.88
4 27 priv 219.22
4 28 priv 0
4 29 priv 201.76
4 30 priv 0
4 31 priv 515.59
5 1 priv 0
5 2 priv 0
5 3 priv 0
5 4 priv 0
5 5 priv 0
5 6 priv 0
5 7 priv 0
5 8 priv 252.56
5 9 priv 248.44
5 10 priv 0
5 11 priv 253.35
5 12 priv 0
5 13 priv 416.08
5 14 priv 231.32
5 15 priv 1515.91
5 16 priv 222.33
5 17 priv 405.55
5 18 priv 916.56
5 19 priv 267.05
5 20 priv 1416.27
5 21 priv 0
5 22 priv 222.23
5 23 priv 237.74
5 24 priv 0
5 25 priv 676.04
5 26 priv 347.64
5 27 priv 616.87
5 28 priv 0
5 29 priv 0
5 30 priv 0
5 31 priv 428.05
6 1 priv 0
6 2 priv 0
6 3 priv 0
6 4 priv 0
6 5 priv 0
6 6 priv 0
6 7 priv 254.52
6 8 priv 0
6 9 priv 0
6 10 priv 237.74
6 11 priv 654.75
6 12 priv 210.44
6 13 priv 197.49
6 14 priv 691.13
6 15 priv 203.37
