vol age ownership area
8 14 priv 503.74
8 15 priv 0
8 16 priv 0
8 17 priv 216.29
9 1 priv 0
9 2 priv 0
9 3 priv 0
9 4 priv 0
9 5 priv 0
9 6 priv 0
9 7 priv 194.1
9 8 priv 1020.94
9 9 priv 1086.71
9 10 priv 651.11
9 11 priv 937.74
9 12 priv 451.84
9 13 priv 0
9 14 priv 295.91
9 15 priv 0
9 16 priv 0
9 17 priv 260.33
10 1 priv 0
10 2 priv 0
10 3 priv 0
10 4 priv 0
10 5 priv 0
10 6 priv 0
10 7 priv 586
10 8 priv 926.87
10 9 priv 2942.43
10 10 priv 1641
10 11 priv 2533.45
10 12 priv 401.85
10 13 priv 203.23
10 14 priv 230.27
10 15 priv 216.58
10 16 priv 230.56
10 17 priv 440.49
