"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5" "step6" "step7" "step8" "step9" "step10" "step11" "step12" "step13" "step14" "step15" "step16" "step17" "step18" "step19" "step20"
"138" "10" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"66" "1" "5" "pub" 1053.66 941.718571416114 138.236202088944 2039.87461882472 0 1474.32713938952 1544.30608793622 1620.24682085733 1676.55784932521 1686.61106420477 1684.51515401694 1697.31929542383 1725.35047200773 1739.23743302359 1743.81660223227 1726.7395889416 1702.2802297477 1671.83219194577 1642.97054946179 1605.99843952802 1554.61799987594
"214" "2" "5" "pub" 2582.56 1951.07443221198 285.362752610293 4225.90733346209 0 3048.98568996268 3193.70581822802 3350.75522861711 3467.20938278585 3487.99995733812 3483.66550537057 3510.14513996376 3568.11508028008 3596.83404249898 3606.30400409446 3570.98784680515 3520.40461179889 3457.43647598613 3397.74908872218 3321.28883027338 3215.03139184081
"288" "3" "5" "pub" 1584.72 1431.06884617698 195.035650409647 3085.78255734567 0 2134.96733942774 2236.30357994256 2346.27305699222 2427.81683612816 2442.37485710646 2439.33977779615 2457.8814046731 2498.47324137845 2518.58289507786 2525.21397202209 2500.48481615396 2465.06531418107 2420.97363023927 2379.17919912606 2325.64003195654 2251.23621911753
"362" "4" "5" "pub" 231.39 262.158150194925 31.7553948911159 660.13549036752 0 349.431290365569 366.017049140398 384.015814534434 397.36213016116 399.744849541299 399.248096424669 402.282814795034 408.926503256357 412.217861447755 413.303173494614 409.255738817246 403.458609254687 396.242098852095 389.401581096026 380.638795865711 368.461082488876
"436" "5" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"510" "6" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"584" "7" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"658" "8" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"732" "9" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"140" "10" "5" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"68" "1" "6" "pub" 231.39 483.337473684211 418.830636971641 61.4424916552534 907.224077115607 0 655.504208352659 686.617720437534 720.381916107017 745.418500696134 749.888285240529 748.956417467262 754.649298207444 767.112308434219 773.286624258655 775.322579920634 767.729927123936 756.854991394376 743.317414568984 730.485168859898 714.046908309867
"216" "2" "6" "pub" 824.41 699.923338345865 570.461008352383 83.3632143809279 1235.4307487755 0 890.729270953212 933.007742369592 978.888084569958 1012.90894737154 1018.9826962168 1017.71643142135 1025.45217963884 1042.387491223 1050.77743557859 1053.54398578434 1043.22673990853 1028.44937700128 1010.05389489377 992.616849151723 970.279784570148
"290" "3" "6" "pub" 1705.99 2385.19561654135 1942.07496646465 278.914581307029 4204.617564008 0 2997.6900369508 3139.97541666754 3294.38265261562 3408.87760051333 3429.31839772762 3425.05686789443 3451.09101330332 3508.08567651244 3536.32147545325 3545.63211591263 3510.91011206786 3461.17788140696 3399.26911155189 3340.58589545096 3265.41199229713
"364" "4" "6" "pub" 878.46 1779.74807142857 1536.68222062361 212.379784955787 3367.36663943551 0 2306.54386222434 2416.02398365935 2534.83115116802 2622.92819124685 2638.6561667121 2635.37717343419 2655.40889704835 2699.26289428759 2720.98865910621 2728.15264215325 2701.43612914987 2663.17014101512 2615.53503152517 2570.38179345027 2512.53995430693
"438" "5" "6" "pub" 0 104.1255 117.971167587716 14.2899277010021 297.060970665384 0 157.244080664506 164.707672113179 172.807116540495 178.812958572522 179.885182293584 179.661643391101 181.027266657765 184.016926465361 185.49803765149 185.986428072576 184.165082467761 181.556374164609 178.308944483443 175.230711493212 171.28745813957
"512" "6" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"586" "7" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"660" "8" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"734" "9" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"142" "10" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"70" "1" "7" "pub" 250.21 304.329857142857 504.279406659506 432.342675620999 63.3831204106222 936.461733798798 0 676.383084853406 708.487612965405 743.327253250723 769.161293830169 773.773448291185 772.811899011826 778.686107274232 791.546084672288 797.91706251038 800.017866675673 792.183375523042 780.962055381059 766.993284688327 753.752311056562
"218" "2" "7" "pub" 0 242.051042857143 274.589403791622 227.297733017345 33.103037285739 492.238709845208 0 354.085191312804 370.891847530424 389.130329497149 402.654398040256 405.068851670549 404.5654825471 407.640618816742 414.372791248665 417.707985397021 418.807752173329 414.70641173366 408.832073095937 401.519449593218 394.587826395415
"292" "3" "7" "pub" 992.73 1292.60443333333 1526.9641723183 1248.05116651821 179.801522820655 2704.32365862234 0 1930.09141226289 2021.70321538353 2121.11979162094 2194.83845931536 2207.99946217984 2205.25563542231 2222.01796903917 2258.7145282727 2276.89441758156 2282.88916252578 2260.53306812933 2228.5124955791 2188.65194176328 2150.86819159424
"366" "4" "7" "pub" 683.07 951.946111111111 1529.19199958229 1277.41010070652 180.415151835564 2781.84245207205 0 1947.6132364376 2040.05671307195 2140.37581639062 2214.76371950339 2228.04420104991 2225.27546518719 2242.1899712144 2279.21967045085 2297.56460107431 2303.61376772426 2281.05471944037 2248.74345659504 2208.5210392887 2170.39427934151
"440" "5" "7" "pub" 494.38 849.318555555556 1573.05168014829 1350.78057791215 187.613948374493 2970.58253312881 0 2032.7097999964 2129.19238564779 2233.89470571196 2311.53282031787 2325.39356252439 2322.50385299868 2340.15740018163 2378.80502853033 2397.95149948304 2404.26497081355 2380.72025584276 2346.99722531125 2305.01738028427 2265.22475763372
"514" "6" "7" "pub" 275.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"588" "7" "7" "pub" 0 0 44.2533375 50.1377462247795 6.07321927292591 126.250912532788 0 66.828734282415 70.0007606481011 73.4430245297105 75.9955073933219 76.4512024747734 76.356198441218 76.9365883295502 78.2071937477783 78.8366660018831 79.044231930845 78.2701600487982 77.1614590199589 75.7813014054631 74.473052384615
"662" "8" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"736" "9" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"144" "10" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"72" "1" "8" "pub" 309.48 90.9854545454545 131.91126212818 207.476220901832 177.166416575014 25.9540031671121 383.737445067827 0 277.037063277712 290.186629529791 304.456459521752 315.037721671851 316.926795712696 316.532958559586 318.938952208069 324.206219311514 326.81568283891 327.676142879244 324.467244741778 319.8711487603 314.149735411897
