"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell" "step6.nomgmt" "step6.thin" "step6.finalfell" "step7.nomgmt" "step7.thin" "step7.finalfell" "step8.nomgmt" "step8.thin" "step8.finalfell" "step9.nomgmt" "step9.thin" "step9.finalfell" "step10.nomgmt" "step10.thin" "step10.finalfell" "step11.nomgmt" "step11.thin" "step11.finalfell" "step12.nomgmt" "step12.thin" "step12.finalfell" "step13.nomgmt" "step13.thin" "step13.finalfell" "step14.nomgmt" "step14.thin" "step14.finalfell" "step15.nomgmt" "step15.thin" "step15.finalfell" "step16.nomgmt" "step16.thin" "step16.finalfell" "step17.nomgmt" "step17.thin" "step17.finalfell" "step18.nomgmt" "step18.thin" "step18.finalfell" "step19.nomgmt" "step19.thin" "step19.finalfell" "step20.nomgmt" "step20.thin" "step20.finalfell"
"542" "7" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"616" "8" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"690" "9" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" "10" "2" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "1" "3" "pub" 623.29041644987 27.09958355013 0 9158.19749681454 398.18250318546 0 0 0 0 6631.7769358534 288.338130052797 0 6946.55427703389 302.024101522718 0 7288.14874926656 316.876035222033 0 7541.44543617558 327.888934744794 0 7586.66652502907 329.855069059185 0 7577.23876068024 329.445166257987 0 7634.83398998652 331.949306683512 0 7760.92304131533 337.431439395746 0 7823.3889793786 340.147349768995 0 7843.98686971932 341.042910226068 0 7767.17152809761 337.703112736374 0 7657.14912544755 332.919529972526 0 7520.1886168589 326.964725201571 0 7390.36398713976 321.320176036228 0 7224.05708049883 314.089440904522 0 6992.9390297386 304.040829918019 0 6658.46103781275 289.49830840854 0 6346.82303633315 275.948829970232 0
"194" "2" "3" "pub" 0 0 0 201.29791659665 8.75208340335 0 0 0 0 83.9465434918152 3.64984974750375 0 87.9310667978974 3.82308989269263 0 92.2550474590703 4.01108905344345 0 95.4613346351339 4.1504928448708 0 96.0337534813807 4.17538062100234 0 95.9144146921549 4.17019197794921 0 96.6434682276774 4.20188995801914 0 98.2395321685485 4.27128404298413 0 99.0302402452987 4.30566265530374 0 99.2909730344218 4.31699886362111 0 98.3186269379444 4.27472294603005 0 96.9259382968044 4.21417126547501 0 95.1922609728975 4.1387939898933 0 93.5489112296172 4.06734400045858 0 91.4437605126435 3.97581570765218 0 88.5182155663114 3.84861810022809 0 84.2843169343385 3.66453554947519 0 80.3395321054829 3.49302316418015 0
"268" "3" "3" "pub" 0 0 0 235.05041658491 10.21958341509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"342" "4" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"416" "5" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"490" "6" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
