"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"56" "1" "6" "pub" 704.5303 260.5797 0 465.472905882353 172.161211764706 0 313.674692661571 116.0166671488 0 0 0 0 1323.60800455372 489.55364551987 0 0 0 0
"180" "2" "6" "pub" 1558.3602 576.3798 0 1071.27147268908 396.223695378151 0 663.216906692282 245.299403845091 0 0 0 0 3033.30768061297 1121.90832022672 0 0 0 0
"242" "3" "6" "pub" 0 0 0 105.723466666667 39.1032 0 42.2168064967105 15.6144352796053 0 0 0 0 194.85262248608 72.0687781797832 0 0 0 0
"304" "4" "6" "pub" 297.9349 110.1951 0 371.174583333333 137.28375 0 84.433612993421 31.2288705592105 0 0 0 0 580.811700530363 214.820765949586 0 0 0 0
"366" "5" "6" "pub" 178.2733 65.9367 0 351.010071428571 129.825642857143 0 86.044081156015 31.8245231672932 0 0 0 0 585.655291149655 216.61223097316 0 0 0 0
"428" "6" "6" "pub" 0 0 0 130.8525 48.3975 0 0 0 0 0 0 0 39.6324006672048 14.658559150884 0 0 0 0
"490" "7" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"552" "8" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"614" "9" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"118" "10" "6" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" "1" "7" "pub" 637.399 273.171 0 839.255557777778 359.680953333333 0 562.878142647059 241.233489705882 0 367.494971323529 157.497844852941 0 0 0 0 1597.98253938572 684.849659736739 0
"182" "2" "7" "pub" 826.42 354.18 0 338.955678585859 145.266719393939 0 231.482532914438 99.2067998204736 0 148.196921360778 63.5129662974762 0 0 0 0 654.181305384032 280.363416593156 0
"244" "3" "7" "pub" 668.388 286.452 0 808.774324909091 346.617567818182 0 599.302661884135 256.843997950344 0 355.869259791699 152.515397053585 0 0 0 0 1638.27319885731 702.117085224559 0
"306" "4" "7" "pub" 1134.448 486.192 0 308.296224727273 132.126953454545 0 331.058483471034 141.882207201872 0 137.589074442579 58.9667461896769 0 0 0 0 706.841742275175 302.932175260789 0
"368" "5" "7" "pub" 148.246 63.534 0 140.218624 60.093696 0 313.606310333333 134.402704428571 0 70.5132515970395 30.2199649701598 0 0 0 0 477.573969591371 204.674558396302 0
"430" "6" "7" "pub" 175.147 75.063 0 191.03259 81.87111 0 354.62186875 151.980800892857 0 61.035521484375 26.1580806361607 0 0 0 0 446.390244506393 191.310104788454 0
"492" "7" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"554" "8" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"616" "9" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" "10" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" "1" "8" "pub" 159.015625 44.524375 0 658.723958333333 184.442708333333 0 700.10584922138 196.029637781986 0 470.47835009032 131.73393802529 0 306.513428371847 85.8237599441172 0 0 0 0
"184" "2" "8" "pub" 373.390625 104.549375 0 453.566443452381 126.998604166667 0 426.567795861141 119.438982841119 0 289.739903936319 81.1271731021693 0 186.818356866098 52.3091399225075 0 0 0 0
"246" "3" "8" "pub" 524.2265625 146.7834375 0 647.153794642857 181.2030625 0 428.572672288735 120.000348240846 0 314.511362060209 88.0631813768584 0 188.261675666189 52.713269186533 0 0 0 0
"308" "4" "8" "pub" 954.6875 267.3125 0 833.120089285714 233.273625 0 561.684250871437 157.271590244002 0 450.475590561406 126.133165357194 0 247.897287631281 69.4112405367588 0 0 0 0
"370" "5" "8" "pub" 1030.15625 288.44375 0 1009.94542410714 282.78471875 0 582.993765300325 163.238254284091 0 764.551996806076 214.074559105701 0 258.469437936001 72.3714426220802 0 0 0 0
"432" "6" "8" "pub" 319.3359375 89.4140625 0 404.240290178571 113.18728125 0 231.47410395698 64.8127491079545 0 380.945921545671 106.664858032788 0 85.1413760285829 23.8395852880032 0 0 0 0
"494" "7" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"556" "8" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"618" "9" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"122" "10" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" "1" "9" "pub" 171.08 73.32 0 71.8875208333333 30.8089375 0 226.371896527778 97.0165270833333 0 236.967376297047 101.557446984449 0 159.445874284148 68.3339461217779 0 103.75080992231 44.4646328238472 0
"186" "2" "9" "pub" 167.503 71.787 0 166.532656901042 71.371138671875 0 480.514958940972 205.934982403274 0 497.847108898556 213.363046670809 0 335.420633550748 143.751700093178 0 217.981128484423 93.4204836361812 0
"248" "3" "9" "pub" 1023.463 438.627 0 319.593435546875 136.968615234375 0 382.520223958333 163.937238839286 0 314.297292320696 134.698839566012 0 220.374130955989 94.4460561239954 0 137.820975205587 59.0661322309657 0
